,index,zpid,address,zestimate,last30_zest,zestimate_30_DayDelta,lat,long,timestamp,geometry,index_right,NAME
0,0,14848516,927 Cherokee Rd Gainesville GA 30501,545100,534560,1.9335901669418454,34.314548,-83.823509,2023-May-05,POINT (-83.823509 34.314548),0,Gainesville city
1,1,14848517,943 Cherokee Rd Gainesville GA 30501,410100,392833,4.210436478907583,34.314773,-83.823699,2023-May-05,POINT (-83.823699 34.314773),0,Gainesville city
2,2,14848515,913 Cherokee Rd Gainesville GA 30501,763100,748600,1.9001441488664659,34.314308,-83.823295,2023-May-05,POINT (-83.823295 34.314308),0,Gainesville city
3,3,14848500,926 Memorial Dr Gainesville GA 30501,255000,245940,3.5529411764705885,34.314342,-83.823913,2023-May-05,POINT (-83.823913 34.314342),0,Gainesville city
4,4,14848499,938 Memorial Dr Gainesville GA 30501,498100,478880,3.8586629190925517,34.314563,-83.824111,2023-May-05,POINT (-83.824111 34.314563),0,Gainesville city
5,5,14848501,908 Memorial Dr Gainesville GA 30501,531300,522080,1.7353660831921702,34.314098,-83.823692,2023-May-05,POINT (-83.823692 34.314098),0,Gainesville city
6,6,14848518,957 Cherokee Rd Gainesville GA 30501,661700,638067,3.571558107903884,34.314994,-83.823898,2023-May-05,POINT (-83.823898 34.314994),0,Gainesville city
7,7,14848514,897 Cherokee Rd Gainesville GA 30501,592200,572640,3.3029381965552176,34.31409,-83.823112,2023-May-05,POINT (-83.823112 34.31409),0,Gainesville city
8,8,14848439,924 Cherokee Rd Gainesville GA 30501,388900,369180,5.070712265363847,34.314865,-83.822898,2023-May-05,POINT (-83.822898 34.314865),0,Gainesville city
9,9,14848438,938 Cherokee Rd Gainesville GA 30501,670000,655840,2.1134328358208956,34.315082,-83.823104,2023-May-05,POINT (-83.823104 34.315082),0,Gainesville city
10,10,14848498,954 Memorial Dr Gainesville GA 30501,528600,518633,1.885546727203935,34.314792,-83.824333,2023-May-05,POINT (-83.824333 34.314792),0,Gainesville city
11,11,14848502,896 Memorial Dr Gainesville GA 30501,361900,353260,2.387399834208345,34.313869,-83.823509,2023-May-05,POINT (-83.823509 34.313869),0,Gainesville city
12,12,14848440,908 Cherokee Rd Gainesville GA 30501,608300,583540,4.070360019727108,34.314636,-83.822685,2023-May-05,POINT (-83.822685 34.314636),0,Gainesville city
13,13,14848437,954 Cherokee Rd Gainesville GA 30501,653100,621760,4.798652580003062,34.315315,-83.823287,2023-May-05,POINT (-83.823287 34.315315),0,Gainesville city
14,14,14848513,885 Cherokee Rd Gainesville GA 30501,589700,573233,2.792436832287604,34.313877,-83.822959,2023-May-05,POINT (-83.822959 34.313877),0,Gainesville city
15,15,14848531,919 Memorial Dr Gainesville GA 30501,590500,573000,2.963590177815411,34.313961,-83.824371,2023-May-05,POINT (-83.824371 34.313961),0,Gainesville city
16,16,14848532,935 Memorial Dr Gainesville GA 30501,550600,545667,0.895931710860879,34.314315,-83.824638,2023-May-05,POINT (-83.824638 34.314315),0,Gainesville city
17,17,14848441,896 Cherokee Rd Gainesville GA 30501,856100,852447,0.42670248802709965,34.314414,-83.822494,2023-May-05,POINT (-83.822494 34.314414),0,Gainesville city
18,18,14848519,977 Cherokee Rd Gainesville GA 30501,815500,769400,5.652973635806253,34.31533,-83.824211,2023-May-05,POINT (-83.824211 34.31533),0,Gainesville city
19,19,14848497,972 Memorial Dr Gainesville GA 30501,442200,431627,2.3909995477159653,34.315013,-83.824584,2023-May-05,POINT (-83.824584 34.315013),0,Gainesville city
20,20,14848503,882 Memorial Dr Gainesville GA 30501,369200,357400,3.1960996749729147,34.313629,-83.823341,2023-May-05,POINT (-83.823341 34.313629),0,Gainesville city
21,21,14848530,905 Memorial Dr Gainesville GA 30501,573700,561880,2.060310266689908,34.313739,-83.824211,2023-May-05,POINT (-83.824211 34.313739),0,Gainesville city
22,22,14848436,976 Cherokee Rd Gainesville GA 30501,1355700,1354427,0.09389983034594675,34.315654,-83.823539,2023-May-05,POINT (-83.823539 34.315654),0,Gainesville city
23,23,14848512,869 Cherokee Rd Gainesville GA 30501,536100,522000,2.630106323447118,34.31364,-83.822868,2023-May-05,POINT (-83.822868 34.31364),0,Gainesville city
24,24,14848447,939 Chattahoochee Dr Gainesville GA 30501,517700,532520,-2.862661773227738,34.315349,-83.822662,2023-May-05,POINT (-83.822662 34.315349),0,Gainesville city
