fid,field_1,Unnamed_ 0,Parcel ID,Address,Sale Date,Sale Price,Qualified,Reason,Acres,Parcel  Cl,Year  Buil,Square Ft,Price Per,lat,long,GEOID
"1","8","8",08065 000321,5346 FLYING SCOTT WAY,7/7/2022,"$465,800.00",Qualified,FM,0.15,Residential,"2021","2744",$169.75,34.2453428,-83.9104074,"131390014022"
"2","23","23",08065 000329,5314 FLYING SCOTT WAY,6/17/2022,"$467,245.00",Qualified,FM,0.16,Residential,"2021","2758",$169.41,34.2453428,-83.9104074,"131390014022"
"3","25","25",08065 000315,5337 FLYING SCOTT WAY,6/15/2022,"$421,450.00",Qualified,FM,0.16,Residential,"2021","1939",$217.35,34.2453428,-83.9104074,"131390014022"
"4","36","36",08077 001015,5236 BYERS RD,6/2/2022,"$280,000.00",Qualified,FM,1.24,Residential,"1976","1204",$232.56,34.2358105,-83.9198139,"131390014022"
"5","40","40",08065 000334,5184 WATCHMANS CV,5/27/2022,"$498,780.00",Qualified,FM,0.16,Residential,"2021","2744",$181.77,34.2443137,-83.9109824,"131390014022"
"6","50","50",08065 000332,5192 WATCHMANS CV,5/23/2022,"$474,600.00",Qualified,FM,0.16,Residential,"2021","2120",$223.87,34.2445619,-83.9111529,"131390014022"
"7","59","59",08065 000330,5200 WATCHMANS CV,5/18/2022,"$504,700.00",Qualified,FM,0.22,Residential,"2021","2744",$183.93,34.2448378,-83.9113409,"131390014022"
"8","72","72",08077 001134,5157 FLATSTONE DR,5/2/2022,"$569,000.00",Qualified,FM,0.98,Residential,"2016","3010",$189.04,34.2347954,-83.9176624,"131390014022"
"9","80","80",08065 000337,5172 WATCHMANS CV,4/29/2022,"$440,420.00",Qualified,FM,0.16,Residential,"2021","2705",$162.82,34.243926,-83.910752,"131390014022"
"10","83","83",08065 000302,5304 SCHOONER CT,4/27/2022,"$430,380.00",Qualified,FM,0.22,Residential,"2021","2939",$146.44,34.2431618,-83.9110417,"131390014022"
"11","89","89",08065 000290,5139 WATCHMANS CV,4/18/2022,"$425,550.00",Qualified,FM,0.16,Residential,"2021","1916",$222.10,34.2423225,-83.9105673,"131390014022"
"12","112","112",08065 000301,5308 SCHOONER CT,4/14/2022,"$393,800.00",Qualified,FM,0.16,Residential,"2021","1835",$214.60,34.2430815,-83.9111658,"131390014022"
"13","271","271",08065 000210,5017 WATCHMANS CV,3/30/2022,"$465,000.00",Qualified,FM,0.17,Residential,"2020","2120",$219.34,34.2384587,-83.9101881,"131390014022"
"14","320","320",08054 004028,4977 FAWNWOOD DR,3/25/2022,"$358,455.00",Qualified,FM,0.1,Residential,"2021","665",$539.03,34.2489385,-83.89893907,"131390014022"
"15","349","349",08055 001004,4913 ODELL DR,3/25/2022,"$500,000.00",Qualified,FM,0.43,Residential,"1974","1440",$347.22,34.2499948,-83.9005712,"131390014022"
"16","352","352",08065 000278,5091 WATCHMANS CV,3/25/2022,"$492,000.00",Qualified,FM,0.16,Residential,"2021","2767",$177.81,34.2408386,-83.9095519,"131390014022"
"17","430","430",08064 000028,5546 HIDDEN HARBOR DR,3/18/2022,"$405,000.00",Qualified,FM,0.75,Residential,"1974","1911",$211.93,34.2436179,-83.917621,"131390014022"
"18","434","434",08042B000082,4620 SW BLUE IRIS WAY,3/18/2022,"$273,500.00",Qualified,FM,0.03,Residential,"2004","1568",$174.43,34.2468685,-83.8951076,"131390014022"
"19","438","438",08086 000001,5654 NAGS HEAD CIR,3/18/2022,"$767,000.00",Qualified,FM,0.37,Residential,"1969","518","$1,480.69",34.242826,-83.9348315,"131390014022"
"20","495","495",08077 004007,5315 STONE TRCE,3/14/2022,"$270,000.00",Qualified,FM,0.47,Residential,"1986","1774",$152.20,34.2369305,-83.9223378,"131390014022"
"21","504","504",08077 004080,5432 STONE TRCE,3/11/2022,"$303,000.00",Qualified,FM,0.41,Residential,"1987","1680",$180.36,34.2345225,-83.9217586,"131390014022"
"22","509","509",08065 000294,5311 SCHOONER CT,3/11/2022,"$435,300.00",Qualified,FM,0.16,Residential,"2021","2939",$148.11,34.2426015,-83.911083,"131390014022"
"23","526","526",08065 000344,5142 WATCHMANS CV,3/11/2022,"$433,240.00",Qualified,FM,0.16,Residential,"2021","2744",$157.89,34.2425523,-83.9100899,"131390014022"
"24","531","531",08065 000288,5131 WATCHMANS CV,3/10/2022,"$411,290.00",Qualified,FM,0.16,Residential,"2021","1937",$212.33,34.2420908,-83.9103795,"131390014022"
"25","712","712",08065 000289,5135 WATCHMANS CV,2/25/2022,"$409,580.00",Qualified,FM,0.16,Residential,"2021","1939",$211.23,34.2422247,-83.9104623,"131390014022"
"26","732","732",08054 004027,4973 FAWNWOOD DR,2/25/2022,"$293,715.00",Qualified,FM,0.1,Residential,"2021","1460",$201.17,34.24900487,-83.89885427,"131390014022"
"27","756","756",08065 000295,5315 SCHOONER CT,2/24/2022,"$422,765.00",Qualified,FM,0.15,Residential,"2021","2062",$205.03,34.2425232,-83.9112486,"131390014022"
"28","767","767",08054 004021,4949 FAWNWOOD DR,2/24/2022,"$272,660.00",Qualified,FM,0.12,Residential,"2021","2176",$125.30,34.24861963,-83.8996343,"131390014022"
"29","797","797",08065 000347,5130 WATCHMANS CV,2/22/2022,"$408,110.00",Qualified,FM,0.16,Residential,"2021","1937",$210.69,34.2421918,-83.9098002,"131390014022"
"30","809","809",08065 000345,5138 WATCHMANS CV,2/18/2022,"$399,800.00",Qualified,FM,0.16,Residential,"2021","1939",$206.19,34.2424616,-83.9100071,"131390014022"
"31","849","849",08065 000350,5118 WATCHMANS CV,2/16/2022,"$408,170.00",Qualified,FM,0.16,Residential,"2021","1937",$210.72,34.2418335,-83.9095519,"131390014022"
"32","851","851",08065 000351,5114 WATCHMANS CV,2/16/2022,"$432,960.00",Qualified,FM,0.16,Residential,"2021","2744",$157.78,34.2416996,-83.9094691,"131390014022"
"33","854","854",08077 001121,5142 FLATSTONE DR,2/16/2022,"$470,000.00",Qualified,FM,0.8,Residential,"2016","3990",$117.79,34.2358942,-83.9181947,"131390014022"
"34","865","865",08065 000343,5146 WATCHMANS CV,2/15/2022,"$449,560.00",Qualified,FM,0.16,Residential,"2021","2758",$163.00,34.2426861,-83.9101726,"131390014022"
"35","878","878",08065 000348,5126 WATCHMANS CV,2/15/2022,"$452,380.00",Qualified,FM,0.16,Residential,"2021","2826",$160.08,34.242058,-83.9097174,"131390014022"
"36","883","883",08042B000160,4748 SW AUTUMN ROSE TRL,2/15/2022,"$261,000.00",Qualified,FM,0.03,Residential,"2004","1248",$209.13,34.2490393,-83.8935347,"131390014022"
"37","897","897",08065 000292,5155 WATCHMANS CV,2/11/2022,"$391,050.00",Qualified,FM,0.19,Residential,"2021","1937",$201.88,34.2427581,-83.910752,"131390014022"
"38","903","903",08042B000080,4624 SW BLUE IRIS WAY,2/11/2022,"$259,900.00",Qualified,FM,0.03,Residential,"2004","1248",$208.25,34.2467552,-83.8952215,"131390014022"
"39","906","906",08042B000065,4615 SW BLUE IRIS WAY,2/11/2022,"$240,000.00",Qualified,FM,0.03,Residential,"2004","1568",$153.06,34.2468067,-83.8947351,"131390014022"
"40","923","923",08065 000352,5110 WATCHMANS CV,2/10/2022,"$436,020.00",Qualified,FM,0.16,Residential,"2021","2826",$154.29,34.2415657,-83.9093864,"131390014022"
"41","932","932",08065 000346,5134 WATCHMANS CV,2/10/2022,"$435,660.00",Qualified,FM,0.16,Residential,"2021","2744",$158.77,34.2423257,-83.909883,"131390014022"
"42","943","943",08065 000354,5102 WATCHMANS CV,2/9/2022,"$435,540.00",Qualified,FM,0.16,Residential,"2021","2744",$158.72,34.2413412,-83.9092208,"131390014022"
"43","946","946",08065 000349,5122 WATCHMANS CV,2/9/2022,"$410,140.00",Qualified,FM,0.16,Residential,"2021","2159",$189.97,34.2419673,-83.9096347,"131390014022"
"44","982","982",08077 002062,5655 SALLEE AVE,2/4/2022,"$311,500.00",Qualified,FM,0.36,Residential,"2005","1209",$257.65,34.231497,-83.9191933,"131390014022"
"45","1045","1045",08065 000286,5123 WATCHMANS CV,1/31/2022,"$414,940.00",Qualified,FM,0.16,Residential,"2021","2233",$185.82,34.2418663,-83.910214,"131390014022"
"46","1057","1057",08054 004031,4989 FAWNWOOD DR,1/28/2022,"$276,040.00",Qualified,FM,0.09,Residential,"2021","2080",$132.71,34.24884962,-83.89850097,"131390014022"
"47","1083","1083",08065 000293,5307 SCHOONER CT,1/28/2022,"$429,340.00",Qualified,FM,0.16,Residential,"2021","2758",$155.67,34.2426798,-83.9109175,"131390014022"
