,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
0,0,15047 002230,6985 RIVER ROCK DR,Hall County,Georgia,5/25/2022,"$487,232.00 ",0.15,Residential,2021,2034,$239.54 ,05037H HONEYCUTT,34.145825,-83.9083518
1,1,08065 000332,5192 WATCHMANS CV,Hall County,Georgia,5/23/2022,"$474,600.00 ",0.16,Residential,2021,2120,$223.87 ,08065 Stephens Point,34.2445619,-83.9111529
2,2,08111 003368,5965 HOOT OWL LN,Hall County,Georgia,5/20/2022,"$358,990.00 ",0.11,Residential,2022,2424,$148.10 ,08111 Summit Lake,34.1936829,-83.9274183
3,3,15047 002292,6987 SCENIC OVERLOOK TRCE,Hall County,Georgia,5/20/2022,"$651,006.00 ",0.32,Residential,2021,3075,$211.71 ,05037H HONEYCUTT,34.1466721,-83.9097174
4,4,08065 000330,5200 WATCHMANS CV,Hall County,Georgia,5/18/2022,"$504,700.00 ",0.22,Residential,2021,2744,$183.93 ,08065 Stephens Point,34.2448378,-83.9113409
5,5,10017 000179,7162 BLUEBIRD CV,Hall County,Georgia,5/16/2022,"$507,450.00 ",0.36,Residential,2021,1881,$269.78 ,03900A Marina Bay Hammock Trail,34.30618855,-83.83906545
6,6,08024 006216,4461 SW MILL OAK WAY,Hall County,Georgia,5/13/2022,"$514,164.00 ",0.18,Residential,2021,3408,$150.87 ,08018B White Oak Park @ MM,34.2539737,-83.8678722
7,7,15048 001068,3325 LONG CREEK DR,Hall County,Georgia,5/9/2022,"$620,000.00 ",0.19,Residential,2021,3373,$183.81 ,05934 Trinity Falls,34.1144849,-83.903427
8,8,10068 000133,3431 DOCKSIDE SHORES DR,Hall County,Georgia,5/6/2022,"$493,709.00 ",1.06,Residential,2021,2437,$202.59 ,L47019 - THE SHORES AT LYNNCLIFF COVE,34.306659,-83.9007765
9,9,10080 000016,4016 BELVEDERE DR,Hall County,Georgia,5/5/2022,"$265,000.00 ",1.02,Residential,2021,1528,$173.43 ,01730 Belvedere,34.377716,-83.889369
10,10,10069 004013,3659 CASTOFF CT,Hall County,Georgia,5/4/2022,"$428,578.00 ",1.4,Residential,2021,3050,$140.52 ,L47019 - THE SHORES AT LYNNCLIFF COVE,34.316173,-83.9046624
11,11,08075 002212A,5188 BARBERRY AVE,Hall County,Georgia,4/29/2022,"$330,000.00 ",0.07,Residential,2021,1922,$171.70 ,08075 Prescott,34.2210367,-83.9044118
12,12,08024 006217,4457 SW MILL OAK WAY,Hall County,Georgia,4/29/2022,"$412,962.00 ",0.18,Residential,2021,2178,$189.61 ,08018B White Oak Park @ MM,34.2539737,-83.8678722
13,13,08134 000021,6204 WADE ORR RD,Hall County,Georgia,4/29/2022,"$546,062.00 ",0.8,Residential,2021,872,$626.22 ,08141 Veritas,34.160388,-83.9298838
14,14,08065 000302,5304 SCHOONER CT,Hall County,Georgia,4/27/2022,"$430,380.00 ",0.22,Residential,2021,2939,$146.44 ,08065 Stephens Point,34.2431618,-83.9110417
15,15,08065 000290,5139 WATCHMANS CV,Hall County,Georgia,4/18/2022,"$425,550.00 ",0.16,Residential,2021,1916,$222.10 ,08065 Stephens Point,34.2423349,-83.9105722
16,16,08118 002012,5908 MITCHELL ST,Hall County,Georgia,4/15/2022,"$609,500.00 ",0.32,Residential,2021,3146,$193.74 ,08979 Old Flowery Branch,34.1832875,-83.9296192
17,17,08151 002078,5360 SUMMER OAK LN,Hall County,Georgia,4/14/2022,"$705,660.00 ",0.24,Residential,2021,3698,$190.82 ,08032 Summerlyn,34.154309,-83.9492516
18,18,08024 006182,4413 SW CHESTNUT OAK WAY,Hall County,Georgia,4/14/2022,"$529,186.00 ",0.17,Residential,2021,3160,$167.46 ,08018B White Oak Park @ MM,34.2528513,-83.8682685
19,19,10017 000189,7145 BLUEBIRD CV,Hall County,Georgia,4/12/2022,"$547,042.00 ",0.38,Residential,2021,2077,$263.38 ,03900A Marina Bay Hammock Trail,34.30618855,-83.83906545
20,20,12047 000073,4518 HIGHLAND GATE PKWY,Hall County,Georgia,3/31/2022,"$409,900.00 ",0.38,Residential,2021,2413,$169.87 ,03006 HIGHLAND GATES,34.4116818,-83.7921004
21,21,12127 000038,8703 HARDWOOD TRL,Hall County,Georgia,3/31/2022,"$453,079.00 ",1,Residential,2021,3035,$149.28 ,03034 MALLARD VIEW,34.4617908,-83.7187925
22,22,08118 002013,5904 MITCHELL ST,Hall County,Georgia,3/31/2022,"$618,400.00 ",0.32,Residential,2021,3286,$188.19 ,08979 Old Flowery Branch,34.1833124,-83.9292469
23,23,08111 003291,5946 SCREECH OWL DR,Hall County,Georgia,3/30/2022,"$374,900.00 ",0.26,Residential,2021,2539,$147.66 ,08111 Summit Lake,34.1918688,-83.9252093
24,24,15047C000104,7219 WHITEWATER DR,Hall County,Georgia,3/30/2022,"$488,174.00 ",0.26,Residential,2021,2868,$170.21 ,05037 Sterling,34.145214,-83.902144
25,25,12047 000055,4427 BAREFOOT RUN,Hall County,Georgia,3/30/2022,"$338,900.00 ",0.38,Residential,2021,2712,$124.96 ,03006 HIGHLAND GATES,34.4121057,-83.790254
26,26,15042 000458,7067 LANCASTER XING,Hall County,Georgia,3/29/2022,"$519,694.00 ",0.28,Residential,2021,3140,$165.51 ,05662 Lancaster,34.1393507,-83.8924107
27,27,08111 003283,5988 SCREECH OWL DR,Hall County,Georgia,3/29/2022,"$408,990.00 ",0.22,Residential,2021,2792,$146.49 ,08111 Summit Lake,34.1908773,-83.9259702
28,28,15041 000280,5977 ROLLINGWOOD WAY,Hall County,Georgia,3/28/2022,"$429,160.00 ",0.13,Residential,2021,1545,$277.77 ,05013A DEL WEBB @ CHATEAU ELAN,34.1085619,-83.8563951
29,29,15043F000177,5683 DEEP CREEK CT,Hall County,Georgia,3/28/2022,"$368,900.00 ",0.9,Residential,2021,2510,$146.97 ,05027 Preserve@Mulbe,34.1619386,-83.887704
30,30,10097 000149,3925 NW CAMDEN CT,Hall County,Georgia,3/24/2022,"$410,900.00 ",0.46,Residential,2021,2634,$156.00 ,01781 Windsor Forrest,34.3548308,-83.8809084
31,31,08134 000013,6172 WADE ORR RD,Hall County,Georgia,3/24/2022,"$565,000.00 ",1.35,Residential,2021,3310,$170.69 ,08141 Veritas,34.1612369,-83.9321055
32,32,15041 000354,5874 MAPLE BLUFF WAY,Hall County,Georgia,3/24/2022,"$659,428.00 ",0.15,Residential,2021,1948,$338.52 ,05013A DEL WEBB @ CHATEAU ELAN,34.1107933,-83.8549633
33,33,12046 000026,4474 HIGHLAND GATE PKWY,Hall County,Georgia,3/23/2022,"$357,900.00 ",0.65,Residential,2021,2712,$131.97 ,03006 HIGHLAND GATES,34.4143121,-83.7908997
34,34,15042 000461,7055 LANCASTER XING,Hall County,Georgia,3/23/2022,"$493,013.00 ",0.23,Residential,2021,3184,$154.84 ,05662 Lancaster,34.138652,-83.8920859
35,35,08024 006188,4437 SW CHESTNUT OAK WAY,Hall County,Georgia,3/23/2022,"$404,555.00 ",0.22,Residential,2021,2358,$171.57 ,08018B White Oak Park @ MM,34.2515219,-83.8693013
36,36,15041 000363,5633 WILLOW SPRINGS PL,Hall County,Georgia,3/23/2022,"$611,072.00 ",0.18,Residential,2021,2424,$252.09 ,05013A DEL WEBB @ CHATEAU ELAN,34.112019,-83.8520593
37,37,08100 001170,6030 PARK BAY CT,Hall County,Georgia,3/17/2022,"$399,800.00 ",0.59,Residential,2021,3115,$128.35 ,08105 PARK WALK AT LANIER,34.2125432,-83.9232725
38,38,15047G000083,7044 BLACKBIRD CT,Hall County,Georgia,3/16/2022,"$383,485.00 ",0.18,Residential,2021,1860,$206.17 ,05037K STERLING KNUTSON,34.15608,-83.915576
39,39,01084 001040,2703 NE LIMESTONE CREEK DR,Hall County,Georgia,3/15/2022,"$475,000.00 ",0.19,Residential,2021,1550,$306.45 ,00039A GATES @ LIMESTONE NEW CONSTRUCTION,34.3251114,-83.8086323
40,40,15042 000629,6836 BENJAMIN DR,Hall County,Georgia,3/14/2022,"$457,720.00 ",0.31,Residential,2021,3068,$149.19 ,05661 Cambridge,34.1426755,-83.888072
41,41,10145 000114,3463 BIG VIEW RD,Hall County,Georgia,3/11/2022,"$984,732.00 ",0.2,Residential,2021,2188,$450.06 ,01512 The Cottages of Lake Lanier,34.37502,-83.8098996
42,42,15048 001251,3507 CREEK HOLW,Hall County,Georgia,3/11/2022,"$555,000.00 ",0.24,Residential,2021,2833,$195.91 ,05934 Trinity Falls,34.1142747,-83.9085309
43,43,08024 006111,4656 SW SILVER OAK DR,Hall County,Georgia,3/11/2022,"$573,214.00 ",0.18,Residential,2021,3540,$161.92 ,08018B White Oak Park @ MM,34.2521742,-83.8690791
44,44,08065 000344,5142 WATCHMANS CV,Hall County,Georgia,3/11/2022,"$433,240.00 ",0.16,Residential,2021,2744,$157.89 ,08065 Stephens Point,34.2425523,-83.9100899
45,45,15041 000361,5625 WILLOW SPRINGS PL,Hall County,Georgia,3/10/2022,"$561,177.00 ",0.18,Residential,2021,2776,$202.15 ,05013A DEL WEBB @ CHATEAU ELAN,34.1123484,-83.8522254
46,46,15042 000473,6979 LANCASTER XING,Hall County,Georgia,3/10/2022,"$545,980.00 ",0.17,Residential,2021,2740,$199.26 ,05662 Lancaster,34.1400411,-83.8900222
47,47,08111 003281,5996 SCREECH OWL DR,Hall County,Georgia,3/9/2022,"$398,990.00 ",0.17,Residential,2021,2613,$152.69 ,08111 Summit Lake,34.1906106,-83.9258819
