Street,City,State,Description,Date_Received,Estimated_Cost
682 EAST LAKE DRIVE NORTHWEST,Gainesville,GA,Single-Family Residence,4/14/2022,1513663
2697 LIMESTONE CREEK DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence,4/1/2022,257000
792 GROVE STREET SOUTHWEST,Gainesville,GA,Single-Family Residence ,4/1/2022,140000
4611 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,4/4/2022,114650
4603 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,4/4/2022,114450
4619 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,4/4/2022,113650
4607 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,4/4/2022,113650
4615 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,4/4/2022,113450
4490 SW SILVER OAK DRIVE,Gainesville,GA,Single-Family Residence,5/2/2022,172000
2129 MARTIN LUTHER KING JR BOULEVARD SOUTHEAST A,Gainesville,GA,Attached Single-Family House ,4/4/2022,25000
310 CLARENDON COURT NORTHWEST,Gainesville,GA,Single-Family Residence,6/1/2022,132500
1253 YONAH AVENUE NORTHEAST,Gainesville,GA,Single-Family Residence ,4/22/2022,21000
947 ETTA VESTA CIRCLE NORTHEAST,Gainesville,GA,Single-Family Residence ,4/1/2022,14000
1082 LAKESHORE DRIVE NORTHWEST,Gainesville,GA,Single-Family Residence ,4/15/2022,9000
3396 EDGEWOOD CIRCLE NORTHWEST,Gainesville,GA,Single-Family Residence ,6/14/2022,700000
306 CLARENDON COURT NORTHWEST,Gainesville,GA,Single-Family Residence ,6/2/2022,165845
318 CLARENDON COURT NORTHWEST,Gainesville,GA,Single-Family Residence ,6/2/2022,155000
314 CLARENDON COURT NORTHWEST,Gainesville,GA,Single-Family Residence ,6/2/2022,142000
4581 SWEETWATER DRIVE SOUTHWEST,Gainesville,GA,Single-Family Residence ,6/2/2022,50000
3385 SWEET PLUM TRACE SOUTHWEST,Gainesville,GA,Single-Family Residence ,6/14/2022,3000
2321 SKYLINE DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence ,5/2/2022,590000
1034 PIEDMONT WAY NORTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,335000
1795 FAIRVIEW DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence ,5/2/2022,310000
342 CLARENDON COURT NORTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,292865
346 CLARENDON COURT NORTHWEST,Gainesville,GA,Attached Single-Family House ,5/2/2022,292865
350 CLARENDON COURT NORTHWEST,Gainesville,GA,Attached Single-Family House ,5/2/2022,292865
354 CLARENDON COURT NORTHWEST,Gainesville,GA,Attached Single-Family House ,5/2/2022,292865
358 CLARENDON COURT NORTHWEST,Gainesville,GA,Attached Single-Family House ,5/2/2022,292865
2685 LIMESTONE CREEK DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence ,5/2/2022,287000
2691 LIMESTONE CREEK DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence,5/2/2022,231000
2752 LIMESTONE CREEK DRIVE NORTHEAST,Gainesville,GA,Single-Family Residence ,5/2/2022,211000
4502 SILVER OAK DRIVE SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,209450
4498 SILVER OAK DRIVE SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,188350
4494 SILVER OAK DRIVE SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,188250
4503 CEDAR OAK COURT SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,172000
4507 CEDAR OAK COURT SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,166600
4486 SILVER OAK DRIVE SOUTHWEST,Gainesville,GA,Single-Family Residence ,5/2/2022,162450
4608 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,5/11/2022,114650
4616 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,5/11/2022,114450
4637 CYPRESS LANDING WAY SOUTHWEST,Gainesville,GA,Attached Single-Family House ,5/11/2022,114450
4612 CYPRESS PARK DRIVE SOUTHWEST,Gainesville,GA,Attached Single-Family House ,5/11/2022,114300
3524 LOCUST COVE ROAD SOUTHWEST,Gainesville,GA,Attached Single-Family House ,5/2/2022,20000
