Block Group,HH_below Poverty_Value,Percentage of 2020 Total Households (ACS 5-Yr)
130119701.001,72,20.22%
130119701.002,20,5.46%
130119701.003,23,3.03%
130119701.004,275,44.35%
130119702.001,32,10.39%
130119702.003,49,9.44%
130119702.004,116,20.10%
130119703.001,32,3.68%
130119703.002,131,21.16%
130119703.003,2,1.09%
130131801.032,15,2.34%
130570901.011,56,10.41%
130570901.012,62,8.01%
130570901.013,52,13.40%
130570901.022,24,9.41%
130570901.023,28,7.53%
130570901.031,14,1.85%
130570904.021,0,0.00%
130570905.031,0,0.00%
130570905.032,29,4.49%
130570905.033,139,23.52%
130570905.041,0,0.00%
130570905.042,0,0.00%
130570905.051,0,0.00%
130570905.052,0,0.00%
130570905.053,0,0.00%
130570905.061,93,14.24%
130570905.062,57,6.47%
130570905.071,15,2.41%
130570905.072,0,0.00%
130570906.031,0,0.00%
130570906.033,30,4.69%
130570906.042,77,14.50%
130570908.051,29,6.36%
130570908.052,76,14.15%
130570908.091,25,3.73%
130570908.092,45,6.24%
130570908.101,12,2.15%
130570908.102,59,7.66%
130570909.111,0,0.00%
130859701.021,34,5.09%
130859701.022,129,15.89%
130859701.032,37,4.92%
130859702.031,16,2.09%
130859702.032,19,2.14%
130859702.041,101,13.47%
130859702.042,55,8.21%
130859702.051,60,22.30%
130859702.052,146,15.96%
130859702.061,53,8.36%
130859702.062,14,2.88%
130859702.063,125,17.17%
131171301.011,31,3.75%
131171301.012,10,1.18%
131171301.021,35,8.60%
131171301.022,18,4.17%
131171301.031,64,16.75%
131171301.032,30,5.52%
131171301.033,23,6.17%
131171301.041,61,11.15%
131171301.042,0,0.00%
131171301.043,23,4.86%
131171301.051,185,19.98%
131171302.011,102,15.89%
131171302.012,7,1.13%
131171302.013,47,8.23%
131171302.021,0,0.00%
131171302.022,23,4.52%
131171302.023,10,1.66%
131171302.031,48,4.77%
131171302.032,76,14.15%
131171302.033,47,13.58%
131171302.041,46,3.56%
131171302.042,29,4.37%
131171302.043,0,0.00%
131171302.051,58,9.65%
131171302.052,33,4.96%
131171302.053,57,21.35%
131171303.011,60,5.96%
131171303.012,32,6.26%
131171303.013,0,0.00%
131171303.021,15,2.17%
131171303.022,0,0.00%
131171303.023,36,3.82%
131171303.031,0,0.00%
131171303.032,17,3.92%
131171303.041,9,1.23%
131171303.042,9,0.82%
131171303.051,0,0.00%
131171303.052,13,1.44%
131171303.053,29,4.07%
131171303.061,47,5.22%
131171303.062,90,9.59%
131171303.071,77,5.89%
131171303.072,0,0.00%
131171304.061,77,10.19%
131171304.062,41,3.93%
131171304.063,48,6.32%
131171304.091,50,11.01%
131171304.092,113,12.71%
131171304.101,108,8.63%
131171304.102,129,18.17%
131171304.103,13,1.15%
131171304.111,14,4.32%
131171304.112,20,4.63%
131171304.121,85,16.83%
131171304.122,35,5.14%
131171304.131,94,17.18%
131171304.132,61,10.43%
131171304.141,26,2.91%
131171304.142,6,1.18%
131171304.151,26,5.68%
131171304.152,79,14.58%
131171305.031,12,1.71%
131171305.032,31,6.14%
131171305.041,73,11.81%
131171305.042,36,4.55%
131171305.051,32,6.72%
131171305.052,6,1.03%
131171305.061,8,2.12%
131171305.062,45,5.22%
131171305.071,39,7.05%
131171305.072,21,3.05%
131171305.081,12,1.97%
131171305.082,22,1.91%
131171305.091,41,4.53%
131171305.092,22,3.30%
131171305.111,18,2.12%
131171305.112,11,1.22%
131171305.121,0,0.00%
131171306.011,44,4.31%
131171306.012,0,0.00%
131171306.013,31,7.16%
131171306.021,255,24.40%
131171306.022,49,4.88%
131171306.031,9,1.66%
131171306.032,0,0.00%
131171306.033,71,3.84%
131171306.041,4,1.11%
131171306.051,20,2.98%
131171306.052,55,7.13%
131171306.071,10,0.81%
131171306.072,60,12.10%
131171306.073,52,5.19%
131171306.091,30,6.91%
131171306.092,105,13.65%
131171306.093,6,0.91%
131171306.112,35,3.23%
131171306.131,19,1.98%
131171306.132,41,3.72%
131171306.141,15,3.36%
131210115.071,8,2.62%
131210115.072,25,4.22%
131210115.073,16,6.96%
131210115.081,0,0.00%
131210115.082,0,0.00%
131210115.091,0,0.00%
131210115.103,0,0.00%
131210115.112,0,0.00%
131210115.141,0,0.00%
131210115.142,59,10.77%
131210115.151,0,0.00%
131210115.152,14,3.57%
131210116.411,21,3.13%
131210116.452,0,0.00%
131210116.453,0,0.00%
131210116.601,113,15.27%
131210116.602,17,1.69%
131210116.611,34,13.39%
131210116.612,0,0.00%
131350501.051,41,14.96%
131350501.052,6,0.84%
131350501.053,327,49.25%
131350501.101,68,6.83%
131350501.102,180,20.52%
131350501.111,35,5.99%
131350501.112,52,30.41%
131350501.121,88,19.73%
131350501.122,147,14.77%
131350501.151,0,0.00%
131350501.153,83,20.15%
131350501.161,18,4.75%
131350501.163,0,0.00%
131350501.164,20,3.38%
131350501.171,77,10.34%
131350501.172,0,0.00%
131350501.201,14,4.98%
131350501.202,11,2.58%
131350501.211,86,10.00%
131350501.212,26,5.02%
131350501.213,35,11.48%
131350501.214,15,5.05%
131350506.151,19,4.15%
131350506.171,0,0.00%
131350506.175,107,13.39%
131350506.311,37,8.83%
131350506.312,36,9.00%
131350506.314,512,57.53%
131350506.351,0,0.00%
131370006.011,37,7.36%
131370006.013,94,20.89%
131370006.014,54,22.04%
131390001.011,132,16.26%
131390001.012,97,9.14%
131390001.021,88,12.39%
131390001.022,26,4.99%
131390002.031,43,5.36%
131390002.032,78,10.21%
131390002.041,45,7.03%
131390002.042,34,4.05%
131390002.051,73,9.26%
131390002.061,58,9.18%
131390002.062,13,2.80%
131390003.031,31,3.37%
131390003.032,36,18.18%
131390003.041,95,13.29%
131390003.042,24,4.15%
131390003.051,19,4.09%
131390003.052,41,5.34%
131390003.053,73,20.56%
131390003.061,54,13.64%
131390003.062,47,9.53%
131390003.071,13,1.72%
131390003.072,40,4.97%
131390004.011,0,0.00%
131390004.012,54,7.22%
131390004.021,0,0.00%
131390004.022,74,17.87%
