Block Group,2022 Baby Boomer Pop
130119701.001,254
130119701.002,230
130119701.003,396
130119701.004,220
130119702.001,219
130119702.002,240
130119702.003,324
130119702.004,310
130119703.001,529
130119703.002,308
130119703.003,188
130119704.001,441
130119704.002,329
130131801.032,376
130570901.011,271
130570901.012,400
130570901.013,326
130570901.022,252
130570901.023,293
130570901.031,446
130570904.021,362
130570905.031,306
130570905.032,492
130570905.033,525
130570905.041,466
130570905.042,495
130570905.051,350
130570905.052,538
130570905.053,301
130570905.061,464
130570905.062,558
130570905.071,300
130570905.072,226
130570906.031,387
130570906.033,317
130570906.042,439
130570908.051,531
130570908.052,328
130570908.081,143
130570908.083,752
130570908.091,598
130570908.092,618
130570908.101,454
130570908.102,551
130570909.111,497
130570909.122,309
130859701.011,442
130859701.012,644
130859701.021,460
130859701.022,564
130859701.031,227
130859701.032,504
130859702.031,653
130859702.032,641
130859702.041,726
130859702.042,215
130859702.051,175
130859702.052,783
130859702.061,416
130859702.062,438
130859702.063,391
131171301.011,465
131171301.012,469
131171301.021,307
131171301.022,243
131171301.031,267
131171301.032,257
131171301.033,352
131171301.041,323
131171301.042,325
131171301.043,378
131171301.051,515
131171302.011,273
131171302.012,209
131171302.013,342
131171302.021,227
131171302.022,583
131171302.023,331
131171302.031,534
131171302.032,295
131171302.033,218
131171302.041,689
131171302.042,197
131171302.043,97
131171302.051,262
131171302.052,690
131171302.053,311
131171303.011,480
131171303.012,284
131171303.013,454
131171303.021,485
131171303.022,448
131171303.023,642
131171303.031,515
131171303.032,486
131171303.041,596
131171303.042,923
131171303.051,326
131171303.052,270
131171303.053,305
131171303.061,845
131171303.062,438
131171303.071,"1,034"
131171303.072,334
131171304.061,239
131171304.062,384
131171304.063,405
131171304.091,197
131171304.092,527
131171304.101,552
131171304.102,296
131171304.103,321
131171304.111,186
131171304.112,359
131171304.121,258
131171304.122,407
131171304.131,241
131171304.132,349
131171304.141,423
131171304.142,163
131171304.151,445
131171304.152,324
131171305.031,395
131171305.032,328
131171305.041,374
131171305.042,589
131171305.051,426
131171305.052,477
131171305.061,447
131171305.062,324
131171305.071,465
131171305.072,587
131171305.081,463
131171305.082,768
131171305.091,629
131171305.092,373
131171305.111,368
131171305.112,303
131171305.121,896
131171306.011,520
131171306.012,204
131171306.013,264
131171306.021,266
131171306.022,335
131171306.031,228
131171306.032,201
131171306.033,720
131171306.041,153
131171306.051,504
131171306.052,515
131171306.071,382
131171306.072,431
131171306.073,465
131171306.091,156
131171306.092,232
131171306.093,185
131171306.112,609
131171306.131,785
131171306.132,621
131171306.141,190
131198902.011,367
131198902.012,94
131198902.013,339
131198903.003,344
131210115.071,418
131210115.072,427
131210115.073,243
131210115.081,320
131210115.082,678
131210115.091,292
131210115.103,199
131210115.112,225
131210115.141,386
131210115.142,487
131210115.151,239
131210115.152,250
131210116.411,392
131210116.452,111
131210116.453,218
131210116.601,374
131210116.602,423
131210116.611,206
131210116.612,319
131230805.001,318
131350501.051,303
131350501.052,431
131350501.053,320
131350501.101,649
131350501.102,450
131350501.111,197
131350501.112,180
131350501.121,291
131350501.122,475
131350501.151,373
131350501.153,161
131350501.161,261
131350501.163,156
131350501.164,199
131350501.171,307
131350501.201,166
131350501.202,153
131350501.211,182
131350501.212,194
131350501.213,236
131350501.214,237
131350506.151,240
131350506.171,281
131350506.175,265
131350506.311,249
131350506.312,232
131350506.314,269
131350506.351,363
131370002.011,490
131370004.001,237
131370004.002,302
131370004.003,211
131370004.004,316
131370005.011,271
131370005.012,210
131370005.021,416
131370005.022,291
131370005.023,370
131370006.011,367
131370006.012,229
131370006.013,225
131370006.014,198
131370006.031,378
131370006.032,405
131370006.041,125
131370006.042,218
131370006.043,180
131370006.044,114
131390001.011,534
131390001.012,485
131390001.021,548
131390001.022,406
131390002.031,580
131390002.032,642
131390002.041,488
131390002.042,569
131390002.051,517
131390002.061,447
131390002.062,336
131390003.031,377
131390003.032,215
131390003.041,441
131390003.042,486
131390003.051,269
131390003.052,405
131390003.053,224
131390003.061,359
131390003.062,366
131390003.071,539
131390003.072,452
131390004.011,297
131390004.012,426
131390004.021,390
131390004.022,229
131390005.011,353
131390005.012,237
131390005.013,254
131390005.021,228
131390005.022,620
131390006.011,130
131390006.012,295
131390006.013,337
131390006.021,267
131390006.022,703
131390007.021,344
131390007.022,259
131390007.031,201
131390007.032,252
131390007.041,279
131390007.042,145
131390008.001,104
131390008.002,184
131390008.003,152
131390009.011,318
131390009.012,268
131390009.021,325
131390009.022,123
131390010.041,127
131390010.042,184
131390010.051,312
131390010.052,418
131390010.061,423
131390010.062,225
131390010.071,140
131390010.081,169
131390010.082,91
131390010.083,127
131390011.011,94
131390011.012,116
131390011.013,114
131390011.021,123
131390011.022,248
131390012.021,191
131390012.022,331
131390012.023,103
131390012.024,127
131390012.031,192
131390012.041,307
131390012.042,227
131390012.043,136
131390013.021,657
131390013.022,577
131390013.031,249
131390013.032,358
131390013.041,188
131390013.042,421
131390014.021,308
131390014.022,700
131390014.023,479
131390014.041,273
131390014.042,155
