Block Group,Value,Percentage of 2022 Total Population
130119701.001,10,0.86%
130119701.002,9,0.98%
130119701.003,16,1.01%
130119701.004,5,0.50%
130119702.001,26,2.64%
130119702.002,24,2.17%
130119702.003,30,2.01%
130119702.004,31,2.23%
130119703.001,59,2.72%
130119703.002,34,2.24%
130119703.003,14,1.53%
130119704.001,76,3.67%
130119704.002,62,3.98%
130570901.011,7,0.64%
130570901.013,14,0.97%
130570905.042,64,2.27%
130570905.061,10,0.48%
130570905.071,11,0.89%
130570905.072,18,1.93%
130859701.011,2,0.29%
130859701.012,2,0.20%
130859701.021,6,0.26%
130859701.022,29,0.99%
130859701.031,3,0.33%
130859701.032,3,0.15%
130859702.031,7,0.33%
130859702.032,25,1.01%
130859702.041,21,0.75%
130859702.042,32,2.21%
130859702.051,8,0.96%
130859702.052,36,1.00%
130859702.061,15,0.78%
130859702.062,17,1.19%
130859702.063,5,0.28%
131171301.011,44,1.81%
131171301.012,101,4.43%
131171301.021,5,0.30%
131171301.022,4,0.31%
131171301.031,39,2.29%
131171301.032,20,1.31%
131171301.033,29,1.56%
131171301.041,7,0.40%
131171301.042,21,1.41%
131171301.043,15,1.09%
131171301.051,34,1.25%
131171302.011,36,1.76%
131171302.012,47,2.80%
131171302.013,10,0.52%
131171302.021,25,1.75%
131171302.022,220,7.67%
131171302.023,34,1.72%
131171302.031,102,2.95%
131171302.032,16,0.90%
131171302.033,40,3.01%
131171302.041,180,3.83%
131171302.042,153,8.12%
131171302.043,39,4.23%
131171302.051,378,14.22%
131171302.052,157,5.85%
131171302.053,68,4.72%
131171303.011,120,3.96%
131171303.012,30,1.78%
131171303.013,103,3.85%
131171303.031,90,3.00%
131171303.032,33,1.84%
131171304.111,173,10.24%
131171304.112,21,1.32%
131171304.121,16,1.13%
131171304.122,18,0.77%
131171305.031,11,0.68%
131171305.032,15,1.10%
131171305.051,23,1.73%
131171305.062,90,3.96%
131230801.003,12,0.58%
131230805.001,7,0.62%
131370002.011,14,0.70%
131370002.012,9,0.37%
131370003.001,18,1.30%
131370003.003,87,5.72%
131370004.001,16,1.32%
131370004.002,33,2.89%
131370004.003,27,2.40%
131370004.004,13,0.77%
131370005.011,48,3.40%
131370005.012,198,19.57%
131370005.021,39,2.06%
131370005.022,40,2.76%
131370005.023,100,4.65%
131370006.011,35,1.90%
131370006.012,41,4.67%
131370006.013,14,1.31%
131370006.014,680,29.58%
131370006.031,11,0.73%
131370006.032,13,0.79%
131370006.041,45,4.37%
131370006.042,62,3.46%
131370006.043,80,5.04%
131370006.044,23,2.25%
131390001.011,152,5.73%
131390001.012,93,3.54%
131390001.021,67,2.92%
131390001.022,70,4.20%
131390002.031,17,0.72%
131390002.032,10,0.43%
131390002.041,18,0.84%
131390002.042,55,2.50%
131390002.051,29,1.05%
131390002.061,13,0.65%
131390002.062,21,1.22%
131390003.031,11,0.65%
131390003.032,4,0.45%
131390003.041,39,1.83%
131390003.042,26,1.24%
131390003.051,36,3.08%
131390003.052,27,1.19%
131390003.053,11,1.38%
131390003.061,14,1.25%
131390003.062,52,3.82%
131390003.071,29,1.50%
131390003.072,41,1.81%
131390004.011,64,4.41%
131390004.012,376,17.23%
131390004.021,31,1.84%
131390004.022,27,1.90%
131390005.011,3,0.32%
131390005.012,254,14.57%
131390005.013,11,1.11%
131390005.021,84,9.15%
131390005.022,169,6.62%
131390006.011,15,2.62%
131390006.012,137,10.81%
131390006.013,89,6.49%
131390006.021,51,4.11%
131390006.022,389,12.42%
131390007.021,205,6.80%
131390007.022,177,8.03%
131390007.031,549,35.77%
131390007.032,721,38.09%
131390007.041,586,25.79%
131390007.042,73,5.99%
131390008.001,243,32.40%
131390008.002,372,33.51%
131390008.003,508,36.26%
131390009.011,163,10.49%
131390009.012,139,9.16%
131390009.021,82,5.29%
131390009.022,105,8.50%
131390010.041,122,9.55%
131390010.042,336,18.25%
131390010.051,70,3.09%
131390010.052,127,6.24%
131390010.061,28,1.49%
131390010.062,47,3.92%
131390010.071,443,20.72%
131390010.081,26,1.41%
131390010.082,117,11.32%
131390010.083,198,14.43%
131390011.011,273,19.05%
131390011.012,33,1.85%
131390011.013,99,5.48%
131390011.021,35,2.24%
131390011.022,121,3.80%
131390012.021,94,5.23%
131390012.023,52,5.24%
131390012.024,82,6.72%
131390012.031,331,15.44%
131390012.043,219,12.45%
131390013.042,407,13.05%
131390014.021,33,3.10%
131390014.022,146,5.65%
131390014.051,187,10.49%
131390014.061,351,9.83%
131390014.062,185,14.36%
131570102.001,6,0.93%
131570102.002,82,5.18%
131570103.001,102,6.49%
131570103.004,450,18.34%
131879601.031,3,0.25%
131879601.032,20,1.03%
131879601.041,13,1.06%
131879601.042,7,0.77%
131879601.043,31,1.38%
131879601.051,5,0.37%
131879601.052,1,0.08%
131879601.061,9,0.67%
131879601.062,21,0.93%
131879602.031,13,0.60%
131879602.032,5,0.52%
131879602.033,14,1.21%
131879602.041,114,3.20%
131879602.042,64,7.30%
131879602.051,19,0.68%
131879602.052,5,0.49%
131879602.053,8,0.60%
131879602.061,3,0.49%
131879602.062,13,0.66%
131879602.063,3,0.28%
131879602.064,67,2.65%
132270501.011,4,0.16%
132270501.021,1,0.18%
132270501.022,2,0.40%
132270501.024,3,0.21%
132270506.021,4,0.74%
132270506.022,13,0.79%
132579704.012,58,3.36%
133119502.022,8,0.42%
133119502.051,16,0.94%
133119502.061,124,7.38%
133119502.062,104,11.21%
133119502.063,53,2.64%
133119502.071,7,0.38%
133119502.072,13,1.19%
133119502.073,15,0.96%
133119503.011,2,0.14%
133119503.012,18,0.72%
133119503.021,4,0.46%
133119503.022,11,0.90%
133119503.023,8,0.48%
130131801.031,116,5.47%
130131801.032,189,9.93%
130131801.033,89,5.11%
130131801.051,87,6.02%
130131801.052,66,4.73%
130131801.061,111,6.48%
130131801.062,41,3.37%
130131801.071,135,7.60%
130131801.072,161,6.42%
130131802.061,152,9.52%
130131803.021,157,5.92%
130131803.024,40,3.21%
130131803.031,119,3.54%
130131804.012,219,8.55%
130131804.024,249,17.95%
130570901.012,27,1.52%
130570901.022,7,0.59%
130570901.023,2,0.14%
130570901.031,17,0.76%
130570904.021,63,3.15%
130570905.031,15,1.22%
130570905.032,84,4.32%
130570905.033,10,0.59%
130570905.041,102,3.86%
130570905.051,135,6.78%
130570905.052,58,2.60%
130570905.053,36,2.11%
130570905.062,54,2.13%
130570906.031,80,3.73%
130570906.033,60,3.38%
130570906.042,92,4.82%
130570908.051,61,2.81%
130570908.052,46,3.31%
130570908.081,20,1.78%
