Block Group,2022 Generation Alpha Pop
130119701.001,84
130119701.002,53
130119701.003,93
130119701.004,71
130119702.001,64
130119702.002,83
130119702.003,110
130119702.004,88
130119703.001,121
130119703.002,88
130119703.003,54
130119704.001,148
130119704.002,111
130131801.032,162
130131801.033,146
130570901.011,73
130570901.012,115
130570901.013,94
130570901.022,88
130570901.023,102
130570901.031,152
130570904.021,156
130570905.031,75
130570905.032,118
130570905.033,71
130570905.041,212
130570905.042,226
130570905.051,162
130570905.052,143
130570905.053,137
130570905.061,143
130570905.062,173
130570905.071,68
130570905.072,51
130570906.031,175
130570906.033,143
130570906.042,159
130570908.051,125
130570908.052,83
130570908.081,109
130570908.083,207
130570908.091,64
130570908.092,128
130570908.101,146
130570908.102,175
130570909.061,195
130570909.072,175
130570909.111,157
130570909.122,101
130859701.011,7
130859701.012,11
130859701.021,170
130859701.022,211
130859701.031,48
130859701.032,104
130859702.031,102
130859702.032,143
130859702.041,187
130859702.042,108
130859702.051,54
130859702.052,236
130859702.061,138
130859702.062,72
130859702.063,128
131171301.011,158
131171301.012,163
131171301.021,116
131171301.022,90
131171301.031,133
131171301.032,131
131171301.033,153
131171301.041,133
131171301.042,101
131171301.043,84
131171301.051,227
131171302.011,268
131171302.012,169
131171302.013,167
131171302.021,89
131171302.022,191
131171302.023,165
131171302.031,274
131171302.032,119
131171302.033,90
131171302.041,461
131171302.042,200
131171302.043,98
131171302.051,281
131171302.052,158
131171302.053,96
131171303.011,264
131171303.012,122
131171303.013,198
131171303.021,190
131171303.022,386
131171303.023,200
131171303.031,248
131171303.032,98
131171303.041,156
131171303.042,297
131171303.051,123
131171303.052,426
131171303.053,260
131171303.061,90
131171303.062,258
131171303.071,405
131171303.072,279
131171304.061,202
131171304.062,255
131171304.063,385
131171304.091,66
131171304.092,191
131171304.101,284
131171304.102,153
131171304.103,439
131171304.111,181
131171304.112,120
131171304.121,112
131171304.122,196
131171304.131,118
131171304.132,188
131171304.141,390
131171304.142,217
131171304.151,230
131171304.152,180
