Block Group,2022 Generation X Pop
130119701.001,255
130119701.002,202
130119701.003,348
130119701.004,217
130119702.001,226
130119702.002,228
130119702.003,306
130119702.004,323
130119703.001,489
130119703.002,369
130119703.003,220
130119704.001,435
130119704.002,331
130131801.032,400
130570901.011,248
130570901.012,383
130570901.013,312
130570901.022,249
130570901.023,289
130570901.031,493
130570904.021,376
130570905.031,297
130570905.032,459
130570905.033,351
130570905.041,631
130570905.042,673
130570905.051,480
130570905.052,548
130570905.053,407
130570905.061,514
130570905.062,624
130570905.071,320
130570905.072,244
130570906.031,481
130570906.033,412
130570906.042,378
130570908.051,527
130570908.052,347
130570908.081,266
130570908.083,875
130570908.091,447
130570908.092,461
130570908.101,499
130570908.102,600
130570909.111,530
130570909.122,305
130859701.011,84
130859701.012,123
130859701.021,468
130859701.022,597
130859701.031,203
130859701.032,435
130859702.031,437
130859702.032,557
130859702.041,557
130859702.042,261
130859702.051,202
130859702.052,837
130859702.061,425
130859702.062,299
130859702.063,398
131171301.011,658
131171301.012,498
131171301.021,407
131171301.022,320
131171301.031,395
131171301.032,347
131171301.033,380
131171301.041,422
131171301.042,330
131171301.043,278
131171301.051,556
131171302.011,324
131171302.012,399
131171302.013,445
131171302.021,388
131171302.022,658
131171302.023,468
131171302.031,874
131171302.032,431
131171302.033,323
131171302.041,890
131171302.042,427
131171302.043,210
131171302.051,535
131171302.052,588
131171302.053,330
131171303.011,729
131171303.012,406
131171303.013,635
131171303.021,765
131171303.022,958
131171303.023,878
131171303.031,689
131171303.032,438
131171303.041,670
131171303.042,"1,340"
131171303.051,416
131171303.052,605
131171303.053,623
131171303.061,633
131171303.062,638
131171303.071,"1,093"
131171303.072,720
131171304.061,529
131171304.062,540
131171304.063,751
131171304.091,144
131171304.092,544
131171304.101,794
131171304.102,500
131171304.103,677
131171304.111,315
131171304.112,353
131171304.121,287
131171304.122,562
131171304.131,193
131171304.132,411
131171304.141,850
131171304.142,338
131171304.151,535
131171304.152,453
131171305.031,343
131171305.032,320
131171305.041,445
131171305.042,435
131171305.051,286
131171305.052,356
131171305.061,399
131171305.062,544
131171305.071,408
131171305.072,402
131171305.081,743
131171305.082,768
131171305.091,539
131171305.092,334
131171305.111,612
131171305.112,706
131171305.121,"1,185"
131171306.011,870
131171306.012,288
131171306.013,442
131171306.021,718
131171306.022,766
131171306.031,509
131171306.032,506
131171306.033,"1,480"
131171306.041,292
131171306.051,574
131171306.052,636
131171306.071,966
131171306.072,347
131171306.073,"1,168"
131171306.091,592
131171306.092,756
131171306.093,542
131171306.112,971
131171306.131,486
131171306.132,971
131171306.141,280
131198902.011,308
131198902.012,69
131198902.013,277
131198903.003,318
131210115.071,488
131210115.072,499
131210115.073,266
131210115.081,341
131210115.082,775
131210115.091,233
131210115.103,257
131210115.112,380
131210115.141,389
131210115.142,498
131210115.151,335
131210115.152,349
131210116.411,459
131210116.452,223
131210116.453,437
131210116.601,519
131210116.602,560
131210116.611,204
131210116.612,314
131230805.001,256
131350501.051,249
131350501.052,515
131350501.053,331
131350501.101,786
131350501.102,557
131350501.111,296
131350501.112,241
131350501.121,430
131350501.122,652
131350501.151,422
131350501.153,175
131350501.161,574
131350501.163,299
131350501.164,446
131350501.171,556
131350501.201,308
131350501.202,275
131350501.211,333
131350501.212,357
131350501.213,413
131350501.214,428
131350506.151,412
131350506.171,465
131350506.175,443
131350506.311,382
131350506.312,343
131350506.314,394
131350506.351,494
131370002.011,425
131370004.001,246
131370004.002,224
131370004.003,244
131370004.004,364
131370005.011,235
131370005.012,165
131370005.021,313
131370005.022,272
131370005.023,318
131370006.011,398
131370006.012,182
131370006.013,219
131370006.014,568
131370006.031,334
131370006.032,363
131370006.041,163
131370006.042,279
131370006.043,256
131370006.044,149
131390001.011,531
131390001.012,523
131390001.021,494
131390001.022,326
131390002.031,543
131390002.032,520
131390002.041,509
131390002.042,441
131390002.051,567
131390002.061,472
131390002.062,396
131390003.031,258
131390003.032,188
131390003.041,435
131390003.042,470
131390003.051,272
131390003.052,517
131390003.053,183
131390003.061,260
131390003.062,318
131390003.071,343
131390003.072,495
131390004.011,294
131390004.012,388
131390004.021,302
131390004.022,322
131390005.011,210
131390005.012,234
131390005.013,220
131390005.021,188
131390005.022,536
131390006.011,91
131390006.012,188
131390006.013,213
131390006.021,251
131390006.022,584
131390007.021,559
131390007.022,405
131390007.031,250
131390007.032,309
131390007.041,390
131390007.042,212
131390008.001,135
131390008.002,192
131390008.003,150
131390009.011,332
131390009.012,306
131390009.021,311
131390009.022,214
131390010.041,161
131390010.042,233
131390010.051,394
131390010.052,399
131390010.061,397
131390010.062,215
131390010.071,246
131390010.081,205
131390010.082,112
131390010.083,153
131390011.011,194
131390011.012,274
131390011.013,271
131390011.021,265
131390011.022,543
131390012.021,330
131390012.022,455
131390012.023,184
131390012.024,226
131390012.031,303
131390012.041,325
131390012.042,439
131390012.043,385
131390013.021,730
131390013.022,539
131390013.031,264
131390013.032,354
131390013.041,186
131390013.042,598
131390014.021,211
131390014.022,522
131390014.023,393
131390014.041,302
131390014.042,157
131390014.043,314
131390014.044,453
131390014.051,279
131390014.052,149
131390014.061,660
131390014.062,232
131390015.011,564
131390015.012,309
131390015.013,397
131390015.021,443
131390015.022,620
131390016.031,471
131390016.032,399
131390016.033,355
131390016.051,455
131390016.052,443
131390016.053,383
131390016.061,382
131390016.062,546
131390016.071,395
131390016.072,646
131390016.073,391
131390016.091,280
131390016.092,432
131390016.093,417
131390016.101,623
131390016.102,184
131390016.111,423
131390016.112,852
131390016.121,436
131390016.122,210
131570101.041,739
131570101.042,399
131570101.051,369
131570101.052,521
131570101.061,592
131570101.062,405
131570101.071,424
131570101.081,426
131570101.082,439
131570101.091,446
131570101.092,563
131570102.001,134
131570102.002,320
131570102.003,377
131570102.004,243
131570103.001,329
131570103.002,132
131570103.003,201
131570103.004,450
131570104.001,242
131570104.002,246
131570104.003,414
131570104.004,236
131570105.002,203
131570105.003,412
131570105.004,238
131570105.005,290
131570106.011,327
131570106.013,278
131570107.011,325
131570107.012,214
131570107.041,397
131570107.042,444
131570107.051,227
131570107.052,451
131570107.053,281
131570107.061,204
131570107.062,214
131570107.063,449
131879601.031,265
131879601.032,417
131879601.041,242
131879601.042,180
131879601.043,439
131879601.051,252
131879601.052,235
131879601.062,391
131879602.031,454
131879602.032,183
131879602.033,221
131879602.041,233
131879602.042,127
131879602.051,560
131879602.052,203
131879602.053,262
131879602.061,128
131879602.062,413
131879602.063,179
131879602.064,171
131950201.001,239
131950201.002,435
131950201.003,220
131950201.004,246
132270501.011,328
132270501.021,104
132270501.022,86
132270501.023,162
132270501.024,245
132270502.012,250
132270502.013,398
132270502.021,270
132270502.022,173
132270502.023,210
132270503.001,130
132270505.001,398
132270506.011,189
132270506.012,356
132270506.013,386
132270506.021,125
132270506.022,377
132579701.011,138
132579703.011,171
132579703.012,215
132579703.014,182
132579703.022,314
132579704.011,357
132579704.012,373
133119502.063,370
133119502.071,347
133119502.072,220
133119502.073,309
133119503.011,296
133119503.012,528
133119503.021,208
133119503.022,272
