Block Group,2022 Generation Z Pop
130119701.001,256
130119701.002,180
130119701.003,313
130119701.004,216
130119702.001,205
130119702.002,237
130119702.003,320
130119702.004,293
130119703.001,411
130119703.002,322
130119703.003,194
130119704.001,444
130119704.002,334
130131801.032,449
130570901.011,218
130570901.012,379
130570901.013,308
130570901.022,256
130570901.023,304
130570901.031,491
130570904.021,439
130570905.031,261
130570905.032,411
130570905.033,326
130570905.041,693
130570905.042,738
130570905.051,528
130570905.052,570
130570905.053,448
130570905.061,485
130570905.062,587
130570905.071,269
130570905.072,203
130570906.031,531
130570906.033,445
130570906.042,424
130570908.051,503
130570908.052,322
130570908.081,314
130570908.083,850
130570908.091,330
130570908.092,429
130570908.101,509
130570908.102,610
130570909.111,531
130570909.122,309
130859701.011,39
130859701.012,55
130859701.021,500
130859701.022,615
130859701.031,171
130859701.032,372
130859702.031,376
130859702.032,488
130859702.041,545
130859702.042,323
130859702.051,181
130859702.052,774
130859702.061,416
130859702.062,255
130859702.063,389
131171301.011,604
131171301.012,495
131171301.021,404
131171301.022,313
131171301.031,397
131171301.032,381
131171301.033,434
131171301.041,448
131171301.042,330
131171301.043,279
131171301.051,663
131171302.011,480
131171302.012,498
131171302.013,519
131171302.021,362
131171302.022,674
131171302.023,582
131171302.031,916
131171302.032,416
131171302.033,311
131171302.041,"1,069"
131171302.042,532
131171302.043,258
131171302.051,707
131171302.052,538
131171302.053,295
131171303.011,771
131171303.012,414
131171303.013,662
131171303.021,792
131171303.022,"1,144"
131171303.023,855
131171303.031,719
131171303.032,357
131171303.041,641
131171303.042,"1,315"
131171303.051,415
131171303.052,866
131171303.053,765
131171303.061,597
131171303.062,757
131171303.071,"1,189"
131171303.072,788
131171304.061,545
131171304.062,604
131171304.063,933
131171304.091,173
131171304.092,522
131171304.101,790
131171304.102,511
131171304.103,838
131171304.111,456
131171304.112,347
131171304.121,338
131171304.122,620
131171304.131,271
131171304.132,491
131171304.141,"1,011"
131171304.142,423
131171304.151,632
131171304.152,506
131171305.031,338
131171305.032,267
131171305.041,429
131171305.042,362
131171305.051,229
131171305.052,325
131171305.061,286
131171305.062,598
131171305.071,312
131171305.072,318
131171305.081,823
131171305.082,740
131171305.091,488
131171305.092,320
131171305.111,757
131171305.112,736
131171305.121,"1,338"
131171306.011,945
131171306.012,316
131171306.013,501
131171306.021,835
131171306.022,860
131171306.031,531
131171306.032,642
131171306.033,"1,767"
131171306.041,381
131171306.051,580
131171306.052,617
131171306.071,"1,220"
131171306.072,294
131171306.073,"1,262"
131171306.091,736
131171306.092,861
131171306.093,708
131171306.112,"1,001"
131171306.131,401
131171306.132,"1,242"
131171306.141,274
131198902.011,285
131198902.012,63
131198902.013,246
131198903.003,271
131210115.071,535
131210115.072,547
131210115.073,303
131210115.081,350
131210115.082,790
131210115.091,257
131210115.103,278
131210115.112,433
131210115.141,394
131210115.142,502
131210115.151,366
131210115.152,379
131210116.411,484
131210116.452,239
131210116.453,463
131210116.601,516
131210116.602,572
131210116.611,214
131210116.612,330
131230805.001,210
131350501.051,300
131350501.052,740
131350501.053,455
131350501.101,775
131350501.102,533
131350501.111,408
131350501.112,302
131350501.121,534
131350501.122,848
131350501.151,408
131350501.153,299
131350501.161,628
131350501.163,359
131350501.164,489
131350501.171,607
131350501.201,340
131350501.202,305
131350501.211,366
131350501.212,393
131350501.213,454
131350501.214,494
131350506.151,435
131350506.171,552
131350506.175,529
131350506.311,420
131350506.312,430
131350506.314,434
131350506.351,493
131370002.011,421
131370004.001,289
131370004.002,225
131370004.003,268
131370004.004,405
131370005.011,341
131370005.012,239
131370005.021,486
131370005.022,305
131370005.023,836
131370006.011,410
131370006.012,176
131370006.013,245
131370006.014,404
131370006.031,286
131370006.032,327
131370006.041,317
131370006.042,551
131370006.043,443
131370006.044,311
131390001.011,628
131390001.012,643
131390001.021,488
131390001.022,339
131390002.031,493
131390002.032,425
131390002.041,472
131390002.042,475
131390002.051,667
131390002.061,444
131390002.062,397
131390003.031,284
131390003.032,182
131390003.041,502
131390003.042,467
131390003.051,232
131390003.052,534
131390003.053,127
