Block Group,Value,Percentage of 2022 Total Population
130119701.001,274,23.52%
130119701.003,94,5.91%
130119701.004,40,4.03%
130119702.001,15,1.52%
130119702.002,36,3.25%
130119702.003,62,4.15%
130119702.004,53,3.81%
130119703.001,150,6.92%
130119703.002,96,6.31%
130119703.003,41,4.48%
130119704.002,78,5.01%
130131801.032,237,12.45%
130131801.033,130,7.47%
130570901.011,57,5.20%
130570901.012,83,4.67%
130570901.013,51,3.53%
130570901.031,88,3.92%
130570905.031,102,8.33%
130570905.032,154,7.92%
130570905.033,91,5.34%
130570905.041,164,6.21%
130570905.042,180,6.40%
130570905.051,140,7.03%
130570905.052,119,5.33%
130570905.053,46,2.69%
130570905.061,98,4.67%
130570905.062,109,4.29%
130570905.071,67,5.41%
130570905.072,42,4.50%
130570908.091,143,7.89%
130570908.092,226,9.90%
130859701.021,160,6.88%
130859701.022,113,3.86%
130859701.032,44,2.24%
130859702.031,91,4.33%
130859702.032,66,2.68%
130859702.041,319,11.39%
130859702.042,225,15.56%
130859702.051,48,5.76%
130859702.052,297,8.27%
130859702.061,116,6.04%
130859702.062,107,7.49%
130859702.063,99,5.53%
131171301.011,146,6.02%
131171301.012,285,12.49%
131171301.021,123,7.36%
131171301.022,64,4.89%
131171301.031,307,18.05%
131171301.032,166,10.89%
131171301.033,222,11.92%
131171301.041,113,6.48%
131171301.042,77,5.16%
131171301.043,111,8.08%
131171301.051,657,24.11%
131171302.011,213,10.42%
131171302.012,116,6.90%
131171302.013,155,8.04%
131171302.021,82,5.74%
131171302.022,237,8.26%
131171302.023,88,4.46%
131171302.031,292,8.44%
131171302.032,181,10.19%
131171302.033,74,5.57%
131171302.041,403,8.58%
131171302.042,222,11.78%
131171302.043,85,9.21%
131171302.051,463,17.42%
131171302.052,338,12.58%
131171302.053,349,24.24%
131171303.011,260,8.57%
131171303.012,189,11.23%
131171303.013,303,11.34%
131171303.021,188,6.70%
131171303.022,210,5.64%
131171303.023,213,6.54%
131171303.031,374,12.47%
131171303.032,198,11.06%
131171303.041,205,7.67%
131171303.042,337,6.84%
131171303.051,221,12.65%
131171303.052,192,6.49%
