Block Group,2022 Median Household Income
130119701.001,"$53,439"
130119701.002,"$58,062"
130119701.003,"$57,512"
130119701.004,"$53,657"
130119702.001,"$53,653"
130119702.003,"$52,072"
130119702.004,"$53,652"
130119703.001,"$62,582"
130119703.002,"$46,104"
130119703.003,"$46,146"
130131801.032,"$106,139"
130570901.011,"$117,493"
130570901.012,"$84,017"
130570901.013,"$83,464"
130570901.022,"$81,448"
130570901.023,"$81,206"
130570901.031,"$71,913"
130570904.021,"$65,293"
130570905.031,"$138,119"
130570905.032,"$137,943"
130570905.033,"$103,115"
130570905.041,"$145,866"
130570905.042,"$146,077"
130570905.051,"$145,513"
130570905.052,"$133,391"
130570905.053,"$146,210"
130570905.061,"$102,424"
130570905.062,"$102,391"
130570905.071,"$92,489"
130570905.072,"$92,289"
130570906.031,"$98,574"
130570906.033,"$99,150"
130570906.042,"$82,590"
130570908.051,"$108,008"
130570908.052,"$108,553"
130570908.091,"$106,357"
130570908.092,"$92,509"
130570908.101,"$122,896"
130570908.102,"$122,976"
130570909.111,"$126,116"
130859701.021,"$63,967"
130859701.022,"$63,957"
130859701.032,"$52,054"
130859702.031,"$115,547"
130859702.032,"$91,682"
130859702.041,"$101,194"
130859702.042,"$62,957"
130859702.051,"$56,271"
130859702.052,"$57,238"
130859702.061,"$84,866"
130859702.062,"$78,196"
130859702.063,"$85,182"
131171301.011,"$111,297"
131171301.012,"$93,691"
131171301.021,"$97,665"
131171301.022,"$98,034"
131171301.031,"$83,430"
131171301.032,"$81,782"
131171301.033,"$93,194"
131171301.041,"$116,774"
131171301.042,"$91,349"
131171301.043,"$83,715"
131171301.051,"$60,783"
131171302.011,"$95,846"
131171302.012,"$113,733"
131171302.013,"$97,205"
131171302.021,"$111,158"
131171302.022,"$123,448"
131171302.023,"$150,617"
131171302.031,"$94,825"
131171302.032,"$102,125"
131171302.033,"$102,801"
131171302.041,"$94,899"
131171302.042,"$90,653"
131171302.043,"$90,683"
131171302.051,"$94,648"
131171302.052,"$80,100"
131171302.053,"$55,858"
131171303.011,"$107,528"
131171303.012,"$140,115"
131171303.013,"$140,809"
131171303.021,"$165,181"
131171303.022,"$182,570"
131171303.023,"$108,974"
131171303.031,"$98,130"
131171303.032,"$117,093"
131171303.041,"$141,557"
131171303.042,"$134,983"
131171303.051,"$112,780"
131171303.052,"$143,438"
131171303.053,"$140,371"
131171303.061,"$165,573"
131171303.062,"$110,193"
131171303.071,"$114,634"
131171303.072,"$164,920"
131171304.061,"$100,771"
131171304.062,"$100,994"
131171304.063,"$93,068"
131171304.091,"$64,935"
131171304.092,"$87,987"
131171304.101,"$89,720"
131171304.102,"$50,265"
131171304.103,"$150,629"
131171304.111,"$73,085"
131171304.112,"$102,438"
131171304.121,"$66,646"
131171304.122,"$116,926"
131171304.131,"$54,724"
131171304.132,"$87,507"
131171304.141,"$137,096"
131171304.142,"$149,173"
131171304.151,"$90,665"
131171304.152,"$99,293"
131171305.031,"$110,714"
131171305.032,"$150,770"
131171305.041,"$69,369"
131171305.042,"$107,712"
131171305.051,"$78,096"
131171305.052,"$156,874"
131171305.061,"$106,783"
131171305.062,"$104,287"
131171305.071,"$100,934"
131171305.072,"$110,272"
131171305.081,"$190,049"
131171305.082,"$118,271"
131171305.091,"$124,109"
131171305.092,"$75,143"
131171305.111,"$178,087"
131171305.112,"$157,741"
131171305.121,"$140,058"
131171306.011,"$90,338"
131171306.012,"$167,292"
131171306.013,"$107,843"
131171306.021,"$104,561"
131171306.022,"$123,009"
131171306.031,"$127,439"
131171306.032,"$183,415"
131171306.033,"$146,942"
131171306.041,"$142,296"
131171306.051,"$134,952"
131171306.052,"$135,103"
131171306.071,"$152,629"
131171306.072,"$128,480"
131171306.073,"$167,153"
131171306.091,"$117,683"
131171306.092,"$169,197"
131171306.093,"$177,376"
131171306.112,"$156,168"
131171306.131,"$86,310"
131171306.132,"$173,734"
131171306.141,"$118,652"
131210115.071,"$200,001"
131210115.072,"$200,001"
131210115.073,"$200,001"
131210115.081,"$200,001"
131210115.082,"$200,001"
131210115.091,"$200,001"
131210115.103,"$200,001"
131210115.112,"$184,491"
131210115.141,"$200,001"
131210115.142,"$200,001"
131210115.151,"$200,001"
131210115.152,"$200,001"
131210116.411,"$200,001"
131210116.452,"$117,711"
131210116.453,"$117,667"
131210116.601,"$139,250"
131210116.602,"$137,794"
131210116.611,"$200,001"
131210116.612,"$200,001"
131350501.051,"$33,904"
131350501.052,"$79,552"
131350501.053,"$45,749"
131350501.101,"$102,980"
131350501.102,"$102,763"
131350501.111,"$57,498"
131350501.112,"$59,350"
131350501.121,"$80,096"
131350501.122,"$80,225"
131350501.151,"$131,805"
131350501.153,"$50,970"
131350501.161,"$158,159"
131350501.163,"$157,220"
131350501.164,"$157,197"
131350501.171,"$135,611"
131350501.172,"$110,498"
131350501.201,"$112,656"
131350501.202,"$112,776"
131350501.211,"$112,786"
131350501.212,"$113,047"
131350501.213,"$112,855"
131350501.214,"$113,098"
131350506.151,"$107,487"
131350506.171,"$123,652"
131350506.175,"$123,870"
131350506.311,"$111,507"
131350506.312,"$111,997"
131350506.314,"$112,141"
131350506.351,"$90,679"
131370006.011,"$55,885"
131370006.013,"$50,000"
131370006.014,"$47,986"
131390001.011,"$54,537"
131390001.012,"$63,398"
131390001.021,"$85,453"
131390001.022,"$77,593"
131390002.031,"$77,558"
131390002.032,"$82,365"
131390002.041,"$123,608"
131390002.042,"$107,247"
131390002.051,"$82,131"
131390002.061,"$62,622"
131390002.062,"$70,974"
131390003.031,"$103,942"
131390003.032,"$42,005"
131390003.041,"$80,752"
131390003.042,"$108,216"
131390003.051,"$69,227"
131390003.052,"$92,991"
131390003.053,"$51,426"
131390003.061,"$71,088"
131390003.062,"$84,482"
131390003.071,"$95,359"
131390003.072,"$56,956"
131390004.011,"$75,597"
131390004.012,"$79,569"
131390004.021,"$96,449"
131390004.022,"$76,189"
131390005.011,"$96,942"
131390005.012,"$83,786"
131390005.013,"$112,358"
131390005.021,"$53,712"
131390005.022,"$101,415"
131390006.011,"$51,946"
131390006.012,"$51,832"
131390006.013,"$51,618"
131390006.021,"$44,618"
131390006.022,"$76,142"
131390007.021,"$67,721"
131390007.022,"$57,078"
131390007.031,"$44,069"
131390007.032,"$43,985"
131390007.041,"$61,521"
131390007.042,"$62,122"
131390008.001,"$25,406"
131390008.002,"$37,319"
131390008.003,"$34,232"
131390009.011,"$92,773"
131390009.012,"$74,858"
131390009.021,"$76,522"
131390009.022,"$50,241"
131390010.041,"$57,547"
131390010.042,"$57,700"
131390010.051,"$71,445"
131390010.052,"$58,396"
131390010.061,"$131,654"
131390010.062,"$58,242"
131390010.071,"$31,303"
131390010.081,"$42,261"
131390010.082,"$40,633"
131390010.083,"$41,789"
131390011.011,"$27,308"
131390011.012,"$45,779"
131390011.013,"$58,454"
131390011.021,"$56,365"
131390011.022,"$56,729"
131390012.021,"$54,226"
131390012.022,"$65,425"
131390012.023,"$53,802"
131390012.024,"$53,844"
131390012.031,"$42,882"
131390012.041,"$73,840"
131390012.042,"$62,738"
131390012.043,"$62,229"
131390013.021,"$97,633"
131390013.022,"$102,107"
131390013.031,"$72,057"
131390013.032,"$101,709"
131390013.041,"$101,917"
131390013.042,"$69,972"
131390014.021,"$63,209"
131390014.022,"$107,506"
131390014.023,"$71,804"
131390014.041,"$51,733"
131390014.042,"$82,853"
131390014.043,"$70,490"
131390014.044,"$69,687"
131390014.051,"$53,456"
131390014.052,"$53,614"
131390014.061,"$69,407"
131390014.062,"$69,822"
131390015.011,"$53,292"
131390015.012,"$110,371"
131390015.013,"$110,122"
131390015.021,"$65,195"
131390015.022,"$102,892"
131390016.031,"$89,136"
131390016.032,"$109,053"
131390016.033,"$109,300"
131390016.051,"$103,030"
131390016.052,"$119,774"
131390016.053,"$119,824"
131390016.061,"$65,503"
131390016.062,"$61,548"
131390016.071,"$48,288"
131390016.072,"$107,828"
131390016.073,"$93,947"
131390016.091,"$114,333"
131390016.092,"$114,268"
131390016.093,"$114,606"
131390016.101,"$89,730"
131390016.102,"$114,298"
131390016.111,"$113,934"
131390016.112,"$113,877"
131390016.121,"$113,766"
131390016.122,"$113,934"
131570101.041,"$67,606"
131570101.042,"$67,441"
131570101.051,"$87,187"
131570101.052,"$86,446"
131570101.061,"$78,305"
131570101.062,"$78,318"
131570101.071,"$108,238"
131570101.081,"$79,667"
131570101.082,"$79,997"
131570101.091,"$105,802"
131570101.092,"$105,785"
131570102.001,"$60,674"
131570102.002,"$59,836"
131570102.003,"$45,291"
131570102.004,"$45,203"
131570103.001,"$50,364"
131570106.011,"$48,008"
131570106.013,"$47,061"
131570107.011,"$55,916"
131570107.012,"$71,423"
131570107.041,"$87,837"
131570107.042,"$87,588"
131570107.051,"$82,071"
131570107.052,"$81,841"
131570107.053,"$82,478"
131570107.061,"$81,428"
131570107.062,"$53,637"
131570107.063,"$53,691"
131879601.042,"$70,201"
131879601.043,"$70,100"
131879602.051,"$64,593"
131879602.061,"$57,121"
131879602.062,"$57,761"
132270501.011,"$122,917"
132270501.021,"$71,687"
132270501.024,"$89,014"
132270502.021,"$62,843"
132270502.022,"$63,991"
132270505.001,"$68,050"
132270506.011,"$56,255"
132270506.012,"$78,448"
132270506.013,"$75,000"
132270506.021,"$68,577"
132270506.022,"$70,215"
