Block Group,2022 Millennial Pop
130119701.001,264
130119701.002,206
130119701.003,357
130119701.004,225
130119702.001,225
130119702.002,269
130119702.003,366
130119702.004,312
130119703.001,510
130119703.002,367
130119703.003,221
130119704.001,520
130119704.002,391
130131801.032,442
130570901.011,222
130570901.012,436
130570901.013,352
130570901.022,277
130570901.023,327
130570901.031,563
130570904.021,564
130570905.031,220
130570905.032,363
130570905.033,314
130570905.041,547
130570905.042,582
130570905.051,399
130570905.052,332
130570905.053,357
130570905.061,444
130570905.062,534
130570905.071,215
130570905.072,158
130570906.031,498
130570906.033,399
130570906.042,417
130570908.051,367
130570908.052,230
130570908.081,257
130570908.083,745
130570908.091,267
130570908.092,559
130570908.101,479
130570908.102,574
130570909.111,388
130570909.122,335
130859701.011,37
130859701.012,53
130859701.021,617
130859701.022,805
130859701.031,211
130859701.032,458
130859702.031,381
130859702.032,490
130859702.041,612
130859702.042,488
130859702.051,186
130859702.052,807
130859702.061,459
130859702.062,297
130859702.063,428
131171301.011,399
131171301.012,562
131171301.021,369
131171301.022,284
131171301.031,475
131171301.032,351
131171301.033,482
131171301.041,340
131171301.042,342
131171301.043,282
131171301.051,686
131171302.011,671
131171302.012,370
131171302.013,410
131171302.021,320
131171302.022,649
131171302.023,382
131171302.031,778
131171302.032,449
131171302.033,335
131171302.041,"1,377"
131171302.042,476
131171302.043,234
131171302.051,813
131171302.052,551
131171302.053,342
131171303.011,699
131171303.012,410
131171303.013,647
131171303.021,484
131171303.022,719
131171303.023,552
131171303.031,738
131171303.032,308
131171303.041,508
131171303.042,884
131171303.051,406
131171303.052,755
131171303.053,565
131171303.061,305
131171303.062,789
131171303.071,"1,269"
131171303.072,657
131171304.061,508
131171304.062,650
131171304.063,975
131171304.091,209
131171304.092,645
131171304.101,896
131171304.102,684
131171304.103,"1,090"
131171304.111,512
131171304.112,323
131171304.121,348
131171304.122,478
131171304.131,311
131171304.132,434
131171304.141,811
131171304.142,545
131171304.151,604
131171304.152,481
131171305.031,359
131171305.032,307
131171305.041,568
131171305.042,393
131171305.051,239
131171305.052,271
131171305.061,294
131171305.062,566
131171305.071,341
131171305.072,326
131171305.081,434
131171305.082,470
131171305.091,510
131171305.092,384
131171305.111,715
131171305.112,564
131171305.121,"1,169"
131171306.011,"1,148"
131171306.012,290
131171306.013,519
131171306.021,"1,083"
131171306.022,796
131171306.031,458
131171306.032,583
131171306.033,"1,379"
131171306.041,370
131171306.051,506
131171306.052,314
131171306.071,800
131171306.072,159
131171306.073,818
131171306.091,415
131171306.092,560
131171306.093,652
131171306.112,604
131171306.131,414
131171306.132,856
131171306.141,194
131198902.011,319
131198902.012,87
131198902.013,320
131198903.003,315
131210115.071,340
