Block Group,Value,Percentage of 2022 Educational Attainment Base
130119701.004,60,8.65%
130119702.001,45,6.40%
130119702.002,82,10.57%
130119702.003,111,10.59%
130119702.004,63,6.34%
130119703.001,122,7.56%
130119703.002,132,12.05%
130119703.003,79,11.99%
130119704.001,149,10.26%
130119704.002,112,10.24%
130131801.031,350,24.65%
130131801.032,314,24.69%
130131801.033,288,24.68%
130131801.051,150,14.93%
130131801.052,144,14.86%
130131801.062,90,10.07%
130131802.061,228,20.52%
130131803.021,317,17.71%
130131803.024,120,14.93%
130131803.031,330,14.01%
130131804.012,243,14.72%
130570901.011,142,17.86%
130570901.012,216,16.99%
130570901.013,176,17.05%
130570901.031,360,22.89%
130570905.031,312,35.33%
130570905.032,492,35.17%
130570905.033,734,56.64%
130570905.041,634,37.14%
130570905.042,676,37.20%
130570905.052,571,38.12%
130570905.053,410,37.17%
130570905.061,280,19.22%
130570905.062,339,19.24%
130570905.071,283,31.76%
130570905.072,213,31.74%
130570908.091,624,44.48%
130859701.021,235,14.42%
130859702.031,610,37.91%
130859702.032,582,32.10%
130859702.041,651,31.83%
130859702.042,188,18.95%
130859702.051,72,12.20%
130859702.052,309,12.16%
130859702.061,335,24.94%
130859702.062,224,20.59%
130859702.063,314,25.06%
131171301.011,351,21.35%
131171301.012,369,23.15%
131171301.021,276,24.38%
131171301.022,216,24.27%
131171301.031,271,23.57%
131171301.032,111,11.18%
131171301.033,324,25.80%
131171301.041,298,26.07%
131171301.042,286,27.19%
131171301.043,336,33.57%
131171301.051,322,17.92%
131171302.011,171,13.36%
131171302.012,291,29.28%
131171302.013,290,23.63%
131171302.021,391,40.64%
131171302.022,542,27.57%
131171302.023,413,33.94%
131171302.031,497,22.26%
131171302.032,429,35.22%
131171302.033,320,35.13%
131171302.041,"1,145",36.51%
131171302.042,399,35.37%
131171302.043,195,35.20%
131171302.051,394,24.05%
131171302.052,515,26.06%
131171302.053,369,35.72%
131171303.011,657,33.42%
131171303.012,399,35.47%
131171303.013,634,35.62%
131171303.021,919,51.08%
131171303.022,"1,148",53.25%
131171303.023,940,43.22%
131171303.031,564,28.19%
131171303.032,432,32.73%
131171303.041,896,48.43%
131171303.042,"1,523",46.65%
131171303.051,409,34.46%
131171303.052,779,47.24%
131171303.053,646,42.90%
131171303.061,"1,063",56.36%
131171303.062,852,45.17%
131171303.071,"1,292",35.41%
131171303.072,964,55.50%
131171304.061,262,20.06%
131171304.062,583,34.48%
131171304.063,709,33.05%
131171304.091,143,22.31%
131171304.092,350,19.66%
131171304.101,956,40.30%
131171304.102,281,17.93%
131171304.103,988,46.56%
131171304.111,396,38.22%
131171304.112,374,33.66%
131171304.121,130,13.77%
131171304.122,514,34.31%
131171304.131,171,19.86%
131171304.132,308,22.58%
131171304.141,882,41.23%
131171304.142,490,45.92%
131171304.151,429,25.60%
131171304.152,425,32.54%
131171305.031,396,33.96%
131171305.032,312,30.95%
131171305.041,451,31.58%
131171305.042,491,32.43%
131171305.051,346,33.79%
131171305.052,372,31.93%
131171305.061,419,33.74%
131171305.062,505,34.57%
131171305.071,267,20.40%
131171305.072,433,30.11%
131171305.081,902,53.53%
131171305.082,"1,006",46.02%
131171305.091,850,47.83%
131171305.092,239,20.86%
131171305.111,716,41.46%
131171305.112,669,42.02%
131171305.121,"1,570",46.99%
131171306.011,"1,015",39.36%
131171306.012,312,38.95%
131171306.013,334,26.63%
131171306.021,600,28.94%
131171306.022,704,36.51%
131171306.031,465,38.37%
131171306.032,486,37.33%
131171306.033,"1,707",47.43%
131171306.041,351,42.49%
131171306.042,464,50.99%
131171306.043,711,50.86%
131171306.051,677,40.44%
131171306.052,799,49.35%
131171306.061,"1,072",44.04%
131171306.062,337,34.67%
131171306.071,865,39.41%
131171306.072,522,43.36%
131171306.073,"1,070",43.20%
131171306.081,718,42.89%
131171306.082,"1,060",38.79%
131171306.091,477,40.98%
131171306.092,721,46.43%
131171306.093,585,41.94%
131171306.101,780,45.80%
131171306.102,"1,472",50.60%
131171306.111,428,40.07%
131171306.112,"1,051",46.94%
131171306.131,820,40.51%
131171306.132,"1,023",40.58%
131171306.141,256,36.78%
131171306.142,749,41.84%
131171306.151,343,57.17%
131171306.152,889,57.17%
131210114.161,694,49.36%
131210114.162,696,50.51%
131210114.163,333,36.84%
131210114.164,256,36.83%
131210114.171,413,46.61%
131210114.172,336,30.13%
131210114.191,630,50.89%
131210114.211,230,30.03%
131210114.212,159,33.54%
131210114.213,308,33.51%
131210114.214,148,33.79%
131210114.261,380,45.89%
131210114.262,360,45.92%
131210114.282,549,45.19%
131210114.292,572,38.31%
131210114.293,229,46.83%
131210114.311,64,14.68%
131210114.341,490,49.20%
131210114.342,549,49.24%
131210114.372,166,25.94%
131210114.431,636,60.51%
131210115.053,466,40.21%
131210115.071,617,48.77%
131210115.072,631,48.76%
131210115.073,345,48.87%
131210115.081,372,40.04%
131210115.082,818,40.02%
131210115.101,627,45.37%
131210115.102,872,45.39%
131210115.103,297,45.48%
131210115.111,347,38.60%
131210115.112,338,38.50%
131210115.141,707,62.68%
131210115.142,898,62.75%
131210115.151,350,44.70%
131210115.152,367,44.70%
131210116.181,790,51.47%
131210116.182,280,51.28%
131210116.183,435,51.42%
131210116.241,563,44.37%
131210116.242,473,44.29%
131210116.271,696,44.96%
131210116.272,156,44.83%
131210116.292,556,44.87%
131210116.293,403,36.44%
131210116.301,520,44.67%
131210116.302,623,44.60%
131210116.311,245,29.99%
131210116.312,100,30.03%
131210116.313,158,29.98%
131210116.314,277,30.04%
131210116.321,448,35.39%
131210116.322,437,41.98%
131210116.331,279,44.08%
131210116.332,370,47.31%
131210116.333,567,44.12%
131210116.341,355,40.48%
131210116.342,379,40.45%
131210116.351,346,58.94%
131210116.352,316,58.96%
131210116.353,842,58.96%
131210116.361,392,28.36%
131210116.371,215,36.75%
131210116.372,505,36.81%
131210116.381,534,63.05%
131210116.382,327,40.93%
131210116.383,388,40.71%
131210116.384,498,62.88%
131210116.391,439,46.80%
131210116.392,304,46.77%
131210116.401,365,25.07%
131210116.402,"1,189",51.99%
131210116.411,665,52.86%
131210116.412,394,52.74%
131210116.413,468,52.94%
131210116.421,266,36.09%
131210116.422,282,36.06%
131210116.423,360,36.04%
131210116.431,458,36.21%
131210116.432,357,36.06%
131210116.433,392,36.16%
131210116.441,298,35.43%
131210116.442,237,35.48%
131210116.443,392,35.16%
131210116.451,176,27.04%
131210116.452,202,26.83%
131210116.453,396,26.87%
131210116.461,337,48.01%
131210116.462,789,48.08%
131210116.471,415,32.88%
131210116.472,127,28.60%
131210116.473,284,28.60%
131210116.474,264,28.60%
131210116.481,209,32.06%
131210116.482,412,32.14%
131210116.491,337,38.69%
131210116.492,503,38.75%
131210116.493,588,32.11%
131210116.501,312,39.49%
131210116.502,520,41.70%
131210116.503,297,41.71%
131210116.511,146,39.46%
131210116.512,437,39.44%
131210116.521,608,39.71%
131210116.522,480,48.58%
131210116.531,227,35.80%
131210116.532,516,48.59%
131210116.533,245,35.82%
131210116.541,596,41.02%
131210116.542,155,40.90%
131210116.551,558,45.18%
131210116.552,356,45.12%
131210116.561,824,49.97%
131210116.562,599,49.96%
131210116.571,344,45.44%
131210116.572,507,45.59%
131210116.581,462,33.82%
131210116.582,491,33.82%
131210116.591,191,36.31%
131210116.592,580,36.39%
131210116.601,492,34.97%
131210116.602,549,34.97%
131210116.611,277,47.03%
131210116.612,427,46.87%
131350501.051,20,2.23%
131350501.052,378,21.42%
131350501.053,76,6.64%
131350501.101,775,34.17%
131350501.102,534,34.01%
131350501.111,127,14.43%
131350501.112,113,14.36%
131350501.121,345,27.12%
131350501.122,548,27.12%
131350501.131,317,22.84%
131350501.132,298,22.80%
131350501.133,310,22.95%
131350501.141,138,23.31%
131350501.142,586,34.76%
131350501.151,453,34.27%
131350501.152,222,34.15%
131350501.153,221,23.21%
131350501.161,509,42.81%
131350501.162,613,42.69%
131350501.163,324,42.91%
131350501.164,394,42.78%
131350501.171,492,37.27%
131350501.172,401,31.23%
131350501.181,404,27.10%
131350501.182,235,27.17%
131350501.191,465,27.15%
131350501.192,139,13.51%
131350501.193,117,13.48%
131350501.201,228,29.46%
131350501.202,205,29.50%
131350501.211,246,29.29%
131350501.212,263,29.22%
131350501.213,324,29.40%
131350501.214,331,29.37%
131350502.231,371,40.68%
131350502.232,578,40.73%
131350502.233,799,40.77%
131350502.241,322,34.04%
131350502.242,774,33.96%
131350502.251,447,32.00%
