Block Group,Value,Percentage of 2022 Total Population
131171302.041,"3,912",83.25%
131390016.112,"3,456",86.97%
131171303.071,"3,405",64.15%
131171306.033,"3,144",51.53%
130859702.052,"3,126",87.08%
131879602.041,"3,031",85.02%
131171303.042,"2,968",60.25%
131171302.031,"2,849",82.39%
131171305.082,"2,662",84.75%
130859701.022,"2,627",89.63%
131171303.022,"2,611",70.13%
131879602.051,"2,492",88.87%
131390013.021,"2,488",79.11%
131171306.102,"2,482",58.47%
131570101.041,"2,480",71.82%
131171303.023,"2,464",75.63%
131171303.031,"2,454",81.80%
130570905.042,"2,453",87.17%
131570101.073,"2,435",85.02%
131171304.141,"2,433",68.29%
131171306.061,"2,429",62.39%
131171303.011,"2,422",79.85%
130859702.041,"2,341",83.61%
132270501.011,"2,334",94.53%
133119503.012,"2,286",91.08%
131171303.061,"2,279",88.16%
131171305.121,"2,258",43.87%
131390016.062,"2,256",62.77%
130570905.041,"2,255",85.32%
130859702.032,"2,231",90.54%
131171304.101,"2,218",63.75%
131171305.081,"2,201",80.50%
131210115.082,"2,197",72.44%
131390001.012,"2,193",83.57%
131390002.032,"2,179",93.44%
131171303.052,"2,178",73.61%
131171301.011,"2,174",89.61%
131570101.061,"2,140",77.79%
131390001.011,"2,120",79.85%
131390002.031,"2,104",89.30%
131390006.022,"2,101",67.10%
131171302.022,"2,095",73.05%
131171304.103,"2,094",61.25%
131879602.064,"2,093",82.92%
131171306.112,"2,067",58.97%
130859701.021,"2,063",88.73%
131390005.022,"2,060",80.66%
131171302.052,"2,057",76.58%
131171303.013,"2,053",76.81%
130570901.031,"2,052",91.40%
131210115.102,"2,044",68.82%
131171303.021,"2,041",72.74%
131879601.062,"2,020",89.70%
131390002.051,"2,012",72.64%
131570101.092,"2,011",74.76%
131390016.072,"2,006",71.46%
131390015.022,"2,001",84.32%
131350501.101,"1,995",59.73%
131570107.031,"1,981",85.42%
131570101.052,"1,970",86.18%
131390013.022,"1,964",79.07%
131171301.051,"1,961",71.96%
131390002.042,"1,958",89.16%
