Block Group,2027 Population Age 15-19
130119701.001,76
130119701.002,47
130119701.003,82
130119701.004,62
130119702.001,57
130119702.002,69
130119702.003,93
130119702.004,77
130119703.001,115
130119703.002,105
130119703.003,53
130119704.001,126
130119704.002,93
130570901.011,69
130570901.013,90
130570905.031,80
130570905.032,128
130570905.033,93
130570905.041,186
130570905.042,205
130570905.061,175
130570905.071,78
130570905.072,62
130859701.011,12
130859701.012,16
130859701.021,143
130859701.022,174
130859701.031,46
130859701.032,107
130859702.031,113
130859702.032,135
130859702.041,178
130859702.042,89
130859702.051,48
130859702.052,304
130859702.061,130
130859702.062,77
130859702.063,111
131171301.011,185
131171301.012,156
131171301.021,108
131171301.022,83
131171301.031,111
131171301.032,110
131171301.033,157
131171301.041,119
131171301.042,92
131171301.043,89
131171301.051,186
131171302.011,115
131171302.012,235
131171302.013,211
131171302.021,90
131171302.022,177
131171302.023,134
131171302.031,282
131171302.032,114
131171302.033,87
131171302.041,240
131171302.042,155
131171302.043,75
131171302.051,210
131171302.052,168
131171302.053,97
131171303.011,249
131171303.012,112
131171303.013,179
131171303.021,250
131171303.022,307
131171303.023,243
131171303.031,206
131171303.032,121
131171303.041,195
131171303.042,374
131171303.051,120
131171303.052,186
131171303.053,207
131171303.061,178
131171303.062,193
131171303.071,353
131171303.072,214
131171304.061,167
131171304.062,151
131171304.063,318
131171304.091,49
131171304.092,171
131171304.101,254
131171304.102,155
131171304.103,163
131171304.111,125
131171304.112,117
131171304.121,104
131171304.122,197
131171304.131,71
131171304.132,171
131171304.141,334
131171304.142,84
131171304.151,193
131171304.152,172
131171305.031,108
131171305.032,78
131171305.041,134
131171305.042,117
131171305.051,75
131171305.052,90
131171305.061,103
131171305.062,178
131171305.071,94
131171305.072,105
131171305.081,227
131171305.082,190
131171305.091,164
131171305.092,118
131171305.111,167
131171305.121,394
131171306.011,304
131171306.012,93
131171306.013,123
131210115.071,129
131210115.072,132
131210115.073,67
131210115.082,207
131210115.141,82
131210115.142,111
131350501.102,155
131350501.202,81
131370004.002,65
131370004.003,77
131370006.011,114
131370006.012,50
131370006.013,68
131370006.014,101
131370006.031,90
131370006.032,107
131370006.041,93
131370006.042,165
131370006.043,123
131370006.044,101
131390001.011,214
131390001.012,191
131390001.021,147
131390001.022,118
131390002.031,148
131390002.032,117
131390002.041,123
131390002.042,138
131390002.051,170
131390002.061,124
131390002.062,125
131390003.031,72
131390003.032,50
131390003.041,137
131390003.042,153
131390003.051,61
131390003.052,134
131390003.053,36
131390003.061,52
131390003.062,86
131390003.071,107
131390003.072,124
131390004.011,105
131390004.012,109
131390004.021,93
131390004.022,86
131390005.011,45
131390005.012,116
131390005.013,47
131390005.021,44
131390005.022,161
131390006.011,28
131390006.012,56
131390006.013,64
131390006.021,60
131390006.022,216
131390007.021,252
131390007.022,174
131390007.031,140
131390007.032,161
131390007.041,223
131390007.042,103
131390008.001,57
131390008.002,78
131390008.003,269
131390009.011,98
131390009.012,99
131390009.021,99
131390009.022,80
131390010.041,69
131390010.042,100
131390010.051,193
131390010.052,140
131390010.061,122
131390010.062,96
131390010.071,146
131390010.081,110
131390010.082,54
131390010.083,83
131390011.011,179
131390011.012,133
131390011.013,153
131390011.021,143
131390011.022,290
131390012.021,149
131390012.022,175
131390012.023,81
131390012.024,100
131390012.031,188
131390012.041,84
131390012.042,192
131390012.043,116
131390013.021,220
131390013.022,135
131390013.031,75
131390013.032,108
131390013.041,57
131390013.042,196
131390014.021,48
131390014.022,147
131390014.023,105
131390014.041,106
131390014.042,48
131390014.043,138
131390014.044,157
131390014.051,142
131390014.052,59
131390014.061,294
131390014.062,109
131390015.011,163
131390015.012,80
131390015.013,110
131390015.021,109
131390015.022,170
131390016.031,134
131390016.032,103
131390016.033,91
131390016.061,118
131390016.062,221
131390016.072,191
131390016.073,96
131390016.091,86
131390016.101,140
131390016.102,51
131570101.041,255
131570101.042,132
131570101.082,137
131570102.001,36
131570102.002,91
131570102.003,134
131570102.004,71
131570103.001,72
131570103.002,43
131570103.003,75
131570103.004,159
131570104.001,77
131570104.002,87
131570104.003,122
131570104.004,58
131570107.011,93
131570107.012,51
131570107.041,113
131570107.042,139
131879601.032,109
131879601.041,71
131879601.042,57
131879601.043,129
131879601.051,64
131879602.051,217
131879602.052,77
131879602.053,94
131879602.061,40
131879602.062,140
131879602.063,51
131879602.064,916
132270501.011,62
132270501.021,17
132270501.024,38
132270506.021,32
132270506.022,84
132579704.012,92
133119502.073,93
133119503.011,87
133119503.012,168
