Block Group,2027 Total Population
130119702.001,"1,000"
130119702.003,"1,499"
130119702.004,"1,376"
130119703.001,"2,211"
130119703.002,"1,863"
130119703.003,934
130131801.031,"2,203"
130131801.032,"1,944"
130131801.033,"1,844"
130131801.041,"3,527"
130131801.051,"1,517"
130131801.052,"1,441"
130131801.061,"1,747"
130131801.062,"1,313"
130131801.071,"1,811"
130131801.072,"2,547"
130131802.053,"2,082"
130131802.061,"1,689"
130131802.062,"1,733"
130131803.011,"3,067"
130131803.021,"2,820"
130131803.022,"1,213"
130131803.023,"1,844"
130131803.024,"1,454"
130131803.031,"3,647"
130131803.032,"2,613"
130131804.012,"2,799"
130131804.013,"2,271"
130131804.024,"1,431"
130570901.011,"1,128"
130570901.012,"1,886"
130570901.013,"1,547"
130570901.023,"1,501"
130570901.031,"2,445"
130570904.021,"2,099"
130570905.031,"1,310"
130570905.032,"2,088"
130570905.033,"1,858"
130570905.041,"2,779"
130570905.042,"3,073"
130570905.051,"2,039"
130570905.052,"2,362"
130570905.053,"1,843"
130570905.061,"2,808"
130570905.062,"2,695"
130570905.071,"1,291"
130570905.072,"1,020"
130570906.031,"2,349"
130570906.033,"1,810"
130570906.042,"1,968"
130570908.051,"2,305"
130570908.052,"1,427"
130570908.083,"3,806"
130570908.091,"1,929"
130570908.092,"2,332"
130570908.101,"2,376"
130570908.102,"2,769"
130570909.111,"2,204"
130670303.354,"1,569"
130670303.431,"1,803"
130670303.432,"2,032"
130670303.433,"1,023"
130670303.601,"1,435"
130670303.602,"1,063"
130859701.021,"2,512"
130859702.032,"2,448"
130859702.041,"2,948"
130859702.042,"1,571"
130859702.052,"5,211"
130859702.061,"2,110"
130859702.063,"1,772"
131171301.011,"2,689"
131171301.012,"2,725"
131171301.021,"1,777"
131171301.022,"1,415"
131171301.031,"1,841"
131171301.032,"1,715"
131171301.033,"2,294"
131171301.041,"1,889"
131171301.042,"1,586"
131171301.043,"1,500"
131171301.051,"2,901"
131171302.011,"2,231"
131171302.012,"3,248"
131171302.013,"2,761"
131171302.021,"1,506"
131171302.022,"3,089"
131171302.023,"2,126"
131171302.031,"3,779"
131171302.032,"2,002"
131171302.033,"1,539"
131171302.041,"4,847"
131171302.042,"2,037"
131171302.043,991
131171302.051,"2,866"
131171302.052,"2,877"
131171302.053,"1,610"
131171303.011,"3,414"
131171303.012,"1,884"
131171303.013,"2,839"
131171303.021,"3,060"
131171303.022,"3,910"
131171303.023,"3,473"
131171303.031,"3,173"
131171303.032,"2,028"
131171303.041,"2,890"
131171303.042,"5,219"
131171303.051,"1,997"
131171303.052,"3,175"
131171303.053,"2,723"
131171303.061,"2,734"
131171303.062,"3,199"
131171303.071,"5,784"
131171303.072,"3,178"
131171304.061,"2,226"
131171304.062,"2,764"
131171304.063,"4,073"
131171304.091,950
131171304.092,"2,709"
131171304.101,"3,793"
131171304.102,"2,767"
131171304.103,"3,741"
131171304.111,"1,900"
131171304.112,"1,725"
131171304.121,"1,595"
131171304.122,"2,501"
131171304.131,"1,360"
131171304.132,"2,216"
131171304.141,"3,944"
131171304.142,"1,889"
131171304.151,"2,694"
131171304.152,"2,469"
131171305.031,"1,810"
131171305.032,"1,434"
131171305.041,"2,244"
131171305.042,"2,146"
131171305.051,"1,437"
131171305.052,"1,709"
131171305.061,"1,805"
131171305.062,"2,430"
131171305.071,"1,856"
131171305.072,"2,219"
131171305.081,"3,026"
131171305.082,"3,374"
131171305.091,"2,856"
131171305.092,"2,156"
131171305.111,"3,285"
131171305.112,"2,736"
131171305.121,"5,902"
131171306.011,"4,227"
131171306.012,"1,335"
131171306.013,"2,212"
131171306.021,"3,630"
131171306.022,"3,396"
131171306.031,"2,091"
131171306.032,"2,453"
131171306.033,"6,251"
131171306.041,"1,434"
131171306.042,"1,613"
131171306.043,"2,492"
131171306.051,"2,660"
131171306.052,"2,615"
131171306.061,"4,476"
131171306.062,"1,776"
131171306.071,"4,205"
131171306.072,"1,733"
131171306.073,"4,460"
131171306.081,"2,767"
131171306.082,"4,405"
131171306.091,"2,379"
131171306.092,"2,933"
131171306.093,"2,587"
131171306.101,"2,991"
131171306.102,"4,624"
131171306.111,"1,702"
131171306.112,"3,768"
131171306.131,"2,852"
131171306.132,"4,471"
131171306.141,"1,142"
131171306.142,"3,110"
131171306.151,"1,054"
131171306.152,"2,789"
131210114.161,"2,043"
131210114.162,"2,116"
131210114.163,"1,273"
131210114.164,976
131210114.171,"1,244"
131210114.172,"1,433"
131210114.173,"1,698"
131210114.174,690
131210114.191,"1,701"
131210114.192,"2,005"
131210114.193,825
131210114.194,"1,195"
131210114.211,"1,339"
131210114.212,712
131210114.213,"1,493"
131210114.214,683
131210114.221,"1,151"
131210114.223,"1,257"
131210114.231,"1,112"
131210114.232,"1,829"
131210114.233,"1,481"
131210114.234,"1,071"
131210114.243,531
131210114.244,"1,917"
131210114.261,"1,217"
131210114.262,"1,155"
131210114.281,"1,088"
131210114.282,"1,650"
131210114.291,817
131210114.292,"2,237"
131210114.293,800
131210114.294,"1,790"
131210114.301,"1,624"
131210114.302,"1,417"
131210114.303,"1,461"
131210114.311,873
131210114.312,"1,001"
131210114.321,"2,853"
131210114.331,837
131210114.332,"1,173"
131210114.341,"1,509"
131210114.342,"1,812"
131210114.351,767
131210114.352,"1,919"
131210114.353,"1,554"
131210114.361,818
131210114.371,"1,365"
131210114.372,873
131210114.373,985
131210114.381,"1,042"
131210114.382,"1,150"
131210114.383,"1,006"
131210114.384,"1,331"
131210114.411,"1,088"
131210114.412,"1,694"
131210114.413,"1,256"
131210114.421,"1,047"
131210114.422,"1,214"
131210114.431,"1,451"
131210114.432,"1,785"
131210114.441,"1,816"
131210114.442,"1,877"
131210114.451,"1,418"
131210114.452,"1,807"
131210114.461,"1,135"
131210114.462,788
131210114.463,"1,473"
131210115.051,"1,567"
131210115.052,736
131210115.053,"1,879"
131210115.071,"1,956"
131210115.072,"2,012"
131210115.073,"1,093"
131210115.081,"1,340"
131210115.082,"3,233"
131210115.091,"1,102"
131210115.092,"1,552"
131210115.101,"2,092"
131210115.102,"3,012"
131210115.103,"1,031"
131210115.111,"1,444"
131210115.112,"1,465"
131210115.121,"1,619"
131210115.122,"1,258"
131210115.131,"1,798"
131210115.132,"1,577"
131210115.141,"1,590"
131210115.142,"2,114"
131210115.151,"1,219"
131210115.152,"1,262"
131210116.121,889
131210116.122,"1,155"
131210116.123,"1,557"
131210116.181,"2,297"
131210116.182,800
131210116.183,"1,227"
131210116.241,"2,085"
131210116.242,"1,799"
131210116.271,"2,047"
131210116.272,461
131210116.273,"1,785"
131210116.281,"1,558"
131210116.282,"1,247"
131210116.291,"1,460"
131210116.292,"1,803"
131210116.293,"1,651"
131210116.301,"1,882"
131210116.302,"2,254"
131210116.311,"1,266"
131210116.312,526
131210116.313,941
131210116.314,"1,492"
131210116.321,"1,971"
131210116.322,"1,644"
131210116.331,919
