Parcel ID,Address,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood
15047 002230,6985 RIVER ROCK DR,5/25/2022,"$487,232.00 ",0.15,Residential,2021,2034,$239.54,05037H HONEYCUTT
08065 000332,5192 WATCHMANS CV,5/23/2022,"$474,600.00 ",0.16,Residential,2021,2120,$223.87,08065 Stephens Point
08111 003368,5965 HOOT OWL LN,5/20/2022,"$358,990.00 ",0.11,Residential,2022,2424,$148.10,08111 Summit Lake
15047 002292,6987 SCENIC OVERLOOK TRCE,5/20/2022,"$651,006.00 ",0.32,Residential,2021,3075,$211.71,05037H HONEYCUTT
08065 000330,5200 WATCHMANS CV,5/18/2022,"$504,700.00 ",0.22,Residential,2021,2744,$183.93,08065 Stephens Point
10017 000179,7162 BLUEBIRD CV,5/16/2022,"$507,450.00 ",0.36,Residential,2021,1881,$269.78,03900A Marina Bay Hammock Trail
08024 006216,4461 SW MILL OAK WAY,5/13/2022,"$514,164.00 ",0.18,Residential,2021,3408,$150.87,08018B White Oak Park @ MM
15048 001068,3325 LONG CREEK DR,5/9/2022,"$620,000.00 ",0.19,Residential,2021,3373,$183.81,05934 Trinity Falls
10068 000133,3431 DOCKSIDE SHORES DR,5/6/2022,"$493,709.00 ",1.06,Residential,2021,2437,$202.59,L47019 - THE SHORES AT LYNNCLIFF COVE
10080 000016,4016 BELVEDERE DR,5/5/2022,"$265,000.00 ",1.02,Residential,2021,1528,$173.43,01730 Belvedere
10069 004013,3659 CASTOFF CT,5/4/2022,"$428,578.00 ",1.4,Residential,2021,3050,$140.52,L47019 - THE SHORES AT LYNNCLIFF COVE
08075 002212A,5188 BARBERRY AVE,4/29/2022,"$330,000.00 ",0.07,Residential,2021,1922,$171.70,08075 Prescott
08024 006217,4457 SW MILL OAK WAY,4/29/2022,"$412,962.00 ",0.18,Residential,2021,2178,$189.61,08018B White Oak Park @ MM
08134 000021,6204 WADE ORR RD,4/29/2022,"$546,062.00 ",0.8,Residential,2021,872,$626.22,08141 Veritas
08065 000302,5304 SCHOONER CT,4/27/2022,"$430,380.00 ",0.22,Residential,2021,2939,$146.44,08065 Stephens Point
08065 000290,5139 WATCHMANS CV,4/18/2022,"$425,550.00 ",0.16,Residential,2021,1916,$222.10,08065 Stephens Point
08118 002012,5908 MITCHELL ST,4/15/2022,"$609,500.00 ",0.32,Residential,2021,3146,$193.74,08979 Old Flowery Branch
08151 002078,5360 SUMMER OAK LN,4/14/2022,"$705,660.00 ",0.24,Residential,2021,3698,$190.82,08032 Summerlyn
08024 006182,4413 SW CHESTNUT OAK WAY,4/14/2022,"$529,186.00 ",0.17,Residential,2021,3160,$167.46,08018B White Oak Park @ MM
10017 000189,7145 BLUEBIRD CV,4/12/2022,"$547,042.00 ",0.38,Residential,2021,2077,$263.38,03900A Marina Bay Hammock Trail
12047 000073,4518 HIGHLAND GATE PKWY,3/31/2022,"$409,900.00 ",0.38,Residential,2021,2413,$169.87,03006 HIGHLAND GATES
12127 000038,8703 HARDWOOD TRL,3/31/2022,"$453,079.00 ",1,Residential,2021,3035,$149.28,03034 MALLARD VIEW
08118 002013,5904 MITCHELL ST,3/31/2022,"$618,400.00 ",0.32,Residential,2021,3286,$188.19,08979 Old Flowery Branch
08111 003291,5946 SCREECH OWL DR,3/30/2022,"$374,900.00 ",0.26,Residential,2021,2539,$147.66,08111 Summit Lake
15047C000104,7219 WHITEWATER DR,3/30/2022,"$488,174.00 ",0.26,Residential,2021,2868,$170.21,05037 Sterling
12047 000055,4427 BAREFOOT RUN,3/30/2022,"$338,900.00 ",0.38,Residential,2021,2712,$124.96,03006 HIGHLAND GATES
15042 000458,7067 LANCASTER XING,3/29/2022,"$519,694.00 ",0.28,Residential,2021,3140,$165.51,05662 Lancaster
08111 003283,5988 SCREECH OWL DR,3/29/2022,"$408,990.00 ",0.22,Residential,2021,2792,$146.49,08111 Summit Lake
15041 000280,5977 ROLLINGWOOD WAY,3/28/2022,"$429,160.00 ",0.13,Residential,2021,1545,$277.77,05013A DEL WEBB @ CHATEAU ELAN
15043F000177,5683 DEEP CREEK CT,3/28/2022,"$368,900.00 ",0.9,Residential,2021,2510,$146.97,05027 Preserve@Mulbe
10097 000149,3925 NW CAMDEN CT,3/24/2022,"$410,900.00 ",0.46,Residential,2021,2634,$156.00,01781 Windsor Forrest
08134 000013,6172 WADE ORR RD,3/24/2022,"$565,000.00 ",1.35,Residential,2021,3310,$170.69,08141 Veritas
15041 000354,5874 MAPLE BLUFF WAY,3/24/2022,"$659,428.00 ",0.15,Residential,2021,1948,$338.52,05013A DEL WEBB @ CHATEAU ELAN
12046 000026,4474 HIGHLAND GATE PKWY,3/23/2022,"$357,900.00 ",0.65,Residential,2021,2712,$131.97,03006 HIGHLAND GATES
15042 000461,7055 LANCASTER XING,3/23/2022,"$493,013.00 ",0.23,Residential,2021,3184,$154.84,05662 Lancaster
08024 006188,4437 SW CHESTNUT OAK WAY,3/23/2022,"$404,555.00 ",0.22,Residential,2021,2358,$171.57,08018B White Oak Park @ MM
15041 000363,5633 WILLOW SPRINGS PL,3/23/2022,"$611,072.00 ",0.18,Residential,2021,2424,$252.09,05013A DEL WEBB @ CHATEAU ELAN
08100 001170,6030 PARK BAY CT,3/17/2022,"$399,800.00 ",0.59,Residential,2021,3115,$128.35,08105 PARK WALK AT LANIER
15047G000083,7044 BLACKBIRD CT,3/16/2022,"$383,485.00 ",0.18,Residential,2021,1860,$206.17,05037K STERLING KNUTSON
01084 001040,2703 NE LIMESTONE CREEK DR,3/15/2022,"$475,000.00 ",0.19,Residential,2021,1550,$306.45,00039A GATES @ LIMESTONE NEW CONSTRUCTION
15042 000629,6836 BENJAMIN DR,3/14/2022,"$457,720.00 ",0.31,Residential,2021,3068,$149.19,05661 Cambridge
10145 000114,3463 BIG VIEW RD,3/11/2022,"$984,732.00 ",0.2,Residential,2021,2188,$450.06,01512 The Cottages of Lake Lanier
15048 001251,3507 CREEK HOLW,3/11/2022,"$555,000.00 ",0.24,Residential,2021,2833,$195.91,05934 Trinity Falls
08024 006111,4656 SW SILVER OAK DR,3/11/2022,"$573,214.00 ",0.18,Residential,2021,3540,$161.92,08018B White Oak Park @ MM
08065 000344,5142 WATCHMANS CV,3/11/2022,"$433,240.00 ",0.16,Residential,2021,2744,$157.89,08065 Stephens Point
15041 000361,5625 WILLOW SPRINGS PL,3/10/2022,"$561,177.00 ",0.18,Residential,2021,2776,$202.15,05013A DEL WEBB @ CHATEAU ELAN
15042 000473,6979 LANCASTER XING,3/10/2022,"$545,980.00 ",0.17,Residential,2021,2740,$199.26,05662 Lancaster
08111 003281,5996 SCREECH OWL DR,3/9/2022,"$398,990.00 ",0.17,Residential,2021,2613,$152.69,08111 Summit Lake
11135 000022,6924 UNDERWOOD DR,3/8/2022,"$451,500.00 ",0.51,Residential,2021,1452,$310.95,Area 4-Lake-Back Cove (dockable)
01084 001037,2745 NE LIMESTONE CREEK DR,3/7/2022,"$458,500.00 ",0.2,Residential,2021,2810,$163.17,00039A GATES @ LIMESTONE NEW CONSTRUCTION
15042 000463,7047 LANCASTER XING,3/7/2022,"$515,348.00 ",0.2,Residential,2021,3288,$156.74,05662 Lancaster
11046 000006,623 ROBIN HOOD DR,3/7/2022,"$230,000.00 ",1.64,Residential,2022,1344,171.1309524,00029   SHERWOOD FOREST
15047 002241,7000 RIVER ROCK DR,3/4/2022,"$534,124.00 ",0.17,Residential,2021,2438,$219.08,05037H HONEYCUTT
