ID,Parcel ID,Address,County,State,Sale Date,Sale Price,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,lat,long
0,15043G000047,6000 DAFFODIL DR,Hall County,GA,1/24/2022,"$299,000.00 ",Residential,1997,1097,$272.56 ,34.1674973,-83.8662089
1,10008 000016,5984 WELLINGTON AVE,Hall County,GA,3/31/2022,"$500,000.00 ",Residential,1997,2334,$214.22 ,34.3676064,-83.967791
2,08056 003001G,4684 BEN HILL DR,Hall County,GA,3/31/2022,"$338,800.00 ",Residential,1978,1672,$202.63 ,34.2597389,-83.9138969
3,08031 004269,4636 SW SUMMER VIEW DR,Hall County,GA,2/11/2022,"$350,000.00 ",Residential,2015,1915,$182.77 ,34.2517647,-83.8770579
4,08031 004269,4636 SW SUMMER VIEW DR,Hall County,GA,3/31/2022,"$325,000.00 ",Residential,2015,1915,$169.71 ,34.2517647,-83.8770579
5,10098 000040,4018 HIDDEN HOLLOW TER,Hall County,GA,3/31/2022,"$1,377,000.00 ",Residential,1998,2214,$621.95 ,34.3616554,-83.8869528
6,10098 000053A,4024 HIDDEN HOLLOW DR,Hall County,GA,3/31/2022,"$1,377,000.00 ",Residential,1988,1040,"$1,324.04 ",34.3633175,-83.8873668
7,15041H000152,3174 PINEY WOODS CIR,Hall County,GA,3/31/2022,"$550,000.00 ",Residential,2006,2644,$208.02 ,34.1064495,-83.8838065
8,01097B000022,2345 NE MARBLERIDGE DR,Hall County,GA,3/23/2022,"$320,000.00 ",Residential,2009,2394,$133.67 ,34.3328969,-83.8390856
9,01097B000022,2345 NE MARBLERIDGE DR,Hall County,GA,3/31/2022,"$318,500.00 ",Residential,2009,2394,$133.04 ,34.3328969,-83.8390856
10,10077 000050,4926 RED OAK DR,Hall County,GA,3/31/2022,"$305,000.00 ",Residential,1999,1366,$223.28 ,34.3870257,-83.9081035
11,12027 002017,4415 WHITMIRE CIR,Hall County,GA,3/31/2022,"$235,000.00 ",Residential,1987,1058,$222.12 ,34.4155751,-83.8050545
12,15039K000121,6242 IVY STONE WAY,Hall County,GA,3/31/2022,"$370,000.00 ",Residential,2010,1405,$263.35 ,34.1272914,-83.8457894
13,12047 000073,4518 HIGHLAND GATE PKWY,Hall County,GA,3/31/2022,"$409,900.00 ",Residential,2021,2413,$169.87 ,34.4116818,-83.7921004
14,01034 003004,1074 SE DESOTA ST,Hall County,GA,3/31/2022,"$170,000.00 ",Residential,1940,1092,$155.68 ,34.2963229,-83.8103603
15,12127 000038,8703 HARDWOOD TRL,Hall County,GA,3/31/2022,"$453,079.00 ",Residential,2021,3035,$149.28 ,34.4617908,-83.7187925
